State,County,Date,Count,Population,PerCapitaPop,LogPerCapita,Year,DOY,DaysSinceFirstSight,DateBeg,DateEnd,FirstInvasion
NJ,Atlantic,8/22/2020 - 8/28/2020,1,274530,3.64259E-06,-5.43858981,2020,235,766,8/22/2020, 8/28/2020,7/18/2018
NJ,Atlantic,9/5/2020 - 9/11/2020,2,274530,7.28518E-06,-5.137559814,2020,249,780,9/5/2020, 9/11/2020,
NJ,Atlantic,9/19/2020 - 9/25/2020,1,274530,3.64259E-06,-5.43858981,2020,263,794,9/19/2020, 9/25/2020,
NJ,Atlantic,10/3/2020 - 10/9/2020,1,274530,3.64259E-06,-5.43858981,2020,277,808,10/3/2020, 10/9/2020,
NJ,Atlantic,8/14/2021 - 8/20/2021,1,274530,3.64259E-06,-5.43858981,2021,226,1123,8/14/2021, 8/20/2021,
NJ,Atlantic,8/21/2021 - 8/27/2021,1,274530,3.64259E-06,-5.43858981,2021,233,1130,8/21/2021, 8/27/2021,
NJ,Atlantic,9/4/2021 - 9/10/2021,5,274530,1.82129E-05,-4.739619806,2021,247,1144,9/4/2021, 9/10/2021,
NJ,Atlantic,9/18/2021 - 9/24/2021,3,274530,1.09278E-05,-4.961468555,2021,261,1158,9/18/2021, 9/24/2021,
NJ,Atlantic,9/25/2021 - 10/1/2021,5,274530,1.82129E-05,-4.739619806,2021,268,1165,9/25/2021, 10/1/2021,
NJ,Atlantic,10/2/2021 - 10/8/2021,6,274530,2.18555E-05,-4.66043856,2021,275,1172,10/2/2021, 10/8/2021,
NJ,Atlantic,10/9/2021 - 10/15/2021,2,274530,7.28518E-06,-5.137559814,2021,282,1179,10/9/2021, 10/15/2021,
NJ,Atlantic,10/16/2021 - 10/22/2021,1,274530,3.64259E-06,-5.43858981,2021,289,1186,10/16/2021, 10/22/2021,
NJ,Atlantic,10/23/2021 - 10/29/2021,5,274530,1.82129E-05,-4.739619806,2021,296,1193,10/23/2021, 10/29/2021,
NJ,Atlantic,11/6/2021 - 11/12/2021,1,274530,3.64259E-06,-5.43858981,2021,310,1207,11/6/2021, 11/12/2021,
NJ,Atlantic,5/14/2022 - 5/20/2022,1,274530,3.64259E-06,-5.43858981,2022,134,1396,5/14/2022, 5/20/2022,
NJ,Atlantic,6/4/2022 - 6/10/2022,1,274530,3.64259E-06,-5.43858981,2022,155,1417,6/4/2022, 6/10/2022,
NJ,Atlantic,6/11/2022 - 6/17/2022,2,274530,7.28518E-06,-5.137559814,2022,162,1424,6/11/2022, 6/17/2022,
NJ,Atlantic,6/18/2022 - 6/24/2022,1,274530,3.64259E-06,-5.43858981,2022,169,1431,6/18/2022, 6/24/2022,
NJ,Atlantic,7/2/2022 - 7/8/2022,3,274530,1.09278E-05,-4.961468555,2022,183,1445,7/2/2022, 7/8/2022,
NJ,Atlantic,7/9/2022 - 7/15/2022,1,274530,3.64259E-06,-5.43858981,2022,190,1452,7/9/2022, 7/15/2022,
NJ,Atlantic,7/16/2022 - 7/22/2022,3,274530,1.09278E-05,-4.961468555,2022,197,1459,7/16/2022, 7/22/2022,
NJ,Atlantic,7/23/2022 - 7/29/2022,5,274530,1.82129E-05,-4.739619806,2022,204,1466,7/23/2022, 7/29/2022,
NJ,Atlantic,7/30/2022 - 8/5/2022,1,274530,3.64259E-06,-5.43858981,2022,211,1473,7/30/2022, 8/5/2022,
NJ,Atlantic,8/6/2022 - 8/12/2022,3,274530,1.09278E-05,-4.961468555,2022,218,1480,8/6/2022, 8/12/2022,
NJ,Atlantic,8/20/2022 - 8/26/2022,4,274530,1.45704E-05,-4.836529819,2022,232,1494,8/20/2022, 8/26/2022,
NJ,Bergen,8/29/2020 - 9/4/2020,1,965856,1.03535E-06,-5.984912382,2020,242,773,8/29/2020, 9/4/2020,
NJ,Bergen,9/5/2020 - 9/11/2020,2,965856,2.0707E-06,-5.683882386,2020,249,780,9/5/2020, 9/11/2020,
NJ,Bergen,9/12/2020 - 9/18/2020,1,965856,1.03535E-06,-5.984912382,2020,256,787,9/12/2020, 9/18/2020,
