ObservedDate,County,State,Year,DOY,FirstiNatReport,FirstInvasion,iNatSince,SinceOfficialInvasion,Count2
7/18/2018,Cape May,NJ,2018,199,7/18/2021,7/17/2018,-1096,1,1
9/20/2018,Camden,NJ,2018,263,7/18/2021,7/17/2018,-1032,65,1
5/27/2019,Hunterdon,NJ,2019,147,7/18/2021,7/17/2018,-783,314,1
6/6/2019,Hunterdon,NJ,2019,157,7/18/2021,7/17/2018,-773,324,1
6/10/2019,Hunterdon,NJ,2019,161,7/18/2021,7/17/2018,-769,328,1
6/11/2019,Hunterdon,NJ,2019,162,7/18/2021,7/17/2018,-768,329,1
6/26/2019,Mercer,NJ,2019,177,7/18/2021,7/17/2018,-753,344,1
6/27/2019,Mercer,NJ,2019,178,7/18/2021,7/17/2018,-752,345,1
7/2/2019,Warren,NJ,2019,183,7/18/2021,7/17/2018,-747,350,1
7/8/2019,Mercer,NJ,2019,189,7/18/2021,7/17/2018,-741,356,1
7/15/2019,Mercer,NJ,2019,196,7/18/2021,7/17/2018,-734,363,1
7/17/2019,Mercer,NJ,2019,198,7/18/2021,7/17/2018,-732,365,1
7/19/2019,Mercer,NJ,2019,200,7/18/2021,7/17/2018,-730,367,1
7/24/2019,Somerset,NJ,2019,205,7/18/2021,7/17/2018,-725,372,1
7/24/2019,Hunterdon,NJ,2019,205,7/18/2021,7/17/2018,-725,372,2
7/26/2019,Hunterdon,NJ,2019,207,7/18/2021,7/17/2018,-723,374,1
7/28/2019,Mercer,NJ,2019,209,7/18/2021,7/17/2018,-721,376,1
7/31/2019,Hudson,NJ,2019,212,7/18/2021,7/17/2018,-718,379,1
8/4/2019,Mercer,NJ,2019,216,7/18/2021,7/17/2018,-714,383,1
8/5/2019,Hudson,NJ,2019,217,7/18/2021,7/17/2018,-713,384,1
8/8/2019,Mercer,NJ,2019,220,7/18/2021,7/17/2018,-710,387,1
8/9/2019,Somerset,NJ,2019,221,7/18/2021,7/17/2018,-709,388,1
8/9/2019,Warren,NJ,2019,221,7/18/2021,7/17/2018,-709,388,1
8/13/2019,Somerset,NJ,2019,225,7/18/2021,7/17/2018,-705,392,1
8/16/2019,Mercer,NJ,2019,228,7/18/2021,7/17/2018,-702,395,1
8/16/2019,Somerset,NJ,2019,228,7/18/2021,7/17/2018,-702,395,3
8/18/2019,Hunterdon,NJ,2019,230,7/18/2021,7/17/2018,-700,397,1
8/21/2019,Warren,NJ,2019,233,7/18/2021,7/17/2018,-697,400,1
9/1/2019,Hunterdon,NJ,2019,244,7/18/2021,7/17/2018,-686,411,1
9/4/2019,Warren,NJ,2019,247,7/18/2021,7/17/2018,-683,414,1
9/12/2019,Mercer,NJ,2019,255,7/18/2021,7/17/2018,-675,422,1
9/13/2019,Camden,NJ,2019,256,7/18/2021,7/17/2018,-674,423,1
9/14/2019,Hunterdon,NJ,2019,257,7/18/2021,7/17/2018,-673,424,1
9/14/2019,Gloucester,NJ,2019,257,7/18/2021,7/17/2018,-673,424,3
9/15/2019,Camden,NJ,2019,258,7/18/2021,7/17/2018,-672,425,1
9/15/2019,Hunterdon,NJ,2019,258,7/18/2021,7/17/2018,-672,425,1
9/15/2019,Somerset,NJ,2019,258,7/18/2021,7/17/2018,-672,425,1
9/17/2019,Burlington,NJ,2019,260,7/18/2021,7/17/2018,-670,427,1
