ObservedDate,County,State,Year,DOY,FirstiNatReport,FirstInvasion,iNatSince,SinceOfficialInvasion,Count2
11/7/2015,Berks,PA,2015,311,11/7/2017,9/22/2014,-731,411,1
8/6/2016,Berks,PA,2016,219,11/7/2017,9/22/2014,-458,684,1
9/8/2016,Lehigh,PA,2016,252,11/7/2017,9/22/2014,-425,717,1
10/2/2016,Berks,PA,2016,276,11/7/2017,9/22/2014,-401,741,1
10/6/2016,Berks,PA,2016,280,11/7/2017,9/22/2014,-397,745,1
10/13/2016,Berks,PA,2016,287,11/7/2017,9/22/2014,-390,752,1
10/21/2016,Montgomery,PA,2016,295,11/7/2017,9/22/2014,-382,760,1
1/24/2017,Berks,PA,2017,24,11/7/2017,9/22/2014,-287,855,2
6/9/2017,Berks,PA,2017,160,11/7/2017,9/22/2014,-151,991,1
6/24/2017,Berks,PA,2017,175,11/7/2017,9/22/2014,-136,1006,1
6/25/2017,Lehigh,PA,2017,176,11/7/2017,9/22/2014,-135,1007,1
7/5/2017,Montgomery,PA,2017,186,11/7/2017,9/22/2014,-125,1017,1
7/8/2017,Berks,PA,2017,189,11/7/2017,9/22/2014,-122,1020,2
7/15/2017,Lebanon,PA,2017,196,11/7/2017,9/22/2014,-115,1027,1
7/19/2017,Lehigh,PA,2017,200,11/7/2017,9/22/2014,-111,1031,1
7/21/2017,Montgomery,PA,2017,202,11/7/2017,9/22/2014,-109,1033,1
7/29/2017,Bucks,PA,2017,210,11/7/2017,9/22/2014,-101,1041,1
8/2/2017,Berks,PA,2017,214,11/7/2017,9/22/2014,-97,1045,1
8/5/2017,Montgomery,PA,2017,217,11/7/2017,9/22/2014,-94,1048,1
8/5/2017,Berks,PA,2017,217,11/7/2017,9/22/2014,-94,1048,2
8/11/2017,Chester,PA,2017,223,11/7/2017,9/22/2014,-88,1054,1
8/16/2017,Montgomery,PA,2017,228,11/7/2017,9/22/2014,-83,1059,1
8/20/2017,Montgomery,PA,2017,232,11/7/2017,9/22/2014,-79,1063,3
8/22/2017,Berks,PA,2017,234,11/7/2017,9/22/2014,-77,1065,1
8/24/2017,Monroe,PA,2017,236,11/7/2017,9/22/2014,-75,1067,1
8/25/2017,Bucks,PA,2017,237,11/7/2017,9/22/2014,-74,1068,1
9/3/2017,Berks,PA,2017,246,11/7/2017,9/22/2014,-65,1077,1
9/5/2017,Montgomery,PA,2017,248,11/7/2017,9/22/2014,-63,1079,1
9/8/2017,Berks,PA,2017,251,11/7/2017,9/22/2014,-60,1082,1
