ObservedDate,County,State,Count,Year,DOY
8/6/2016,Berks,PA,1,2016,219
9/8/2016,Lehigh,PA,1,2016,252
10/6/2016,Berks,PA,1,2016,280
10/2/2016,Berks,PA,1,2016,276
6/9/2017,Berks,PA,1,2017,160
6/24/2017,Berks,PA,1,2017,175
6/25/2017,Lehigh,PA,1,2017,176
7/8/2017,Berks,PA,1,2017,189
7/8/2017,Berks,PA,1,2017,189
7/19/2017,Lehigh,PA,1,2017,200
7/29/2017,Bucks,PA,1,2017,210
8/5/2017,Montgomery,PA,1,2017,217
8/11/2017,Chester,PA,1,2017,223
8/2/2017,Berks,PA,1,2017,214
8/16/2017,Montgomery,PA,1,2017,228
8/24/2017,Monroe,PA,1,2017,236
8/25/2017,Bucks,PA,1,2017,237
9/5/2017,Montgomery,PA,1,2017,248
9/10/2017,Lehigh,PA,1,2017,253
9/10/2017,Lehigh,PA,1,2017,253
9/8/2017,Berks,PA,1,2017,251
9/19/2017,Berks,PA,1,2017,262
9/21/2017,Berks,PA,1,2017,264
9/27/2017,Bucks,PA,1,2017,270
10/8/2017,Lehigh,PA,1,2017,281
10/10/2017,Lehigh,PA,1,2017,283
10/10/2017,Lehigh,PA,1,2017,283
10/14/2017,Lehigh,PA,1,2017,287
10/16/2017,Montgomery,PA,1,2017,289
10/17/2017,Berks,PA,1,2017,290
10/17/2017,Chester,PA,1,2017,290
10/21/2017,Montgomery,PA,1,2017,294
10/15/2017,Chester,PA,1,2017,288
10/16/2017,Chester,PA,1,2017,289
10/21/2017,Chester,PA,1,2017,294
10/22/2017,Montgomery,PA,1,2017,295
10/24/2017,Northampton,PA,1,2017,297
11/2/2017,Lehigh,PA,1,2017,306
11/3/2017,Berks,PA,1,2017,307
9/15/2017,Bucks,PA,1,2017,258
11/10/2017,Montgomery,PA,1,2017,314
11/17/2017,Chester,PA,1,2017,321
11/25/2017,Lehigh,PA,1,2017,329
12/3/2017,Chester,PA,1,2017,337
12/19/2017,Bucks,PA,1,2017,353
1/14/2018,Montgomery,PA,1,2018,14
11/7/2015,Berks,PA,1,2015,311
8/22/2017,Berks,PA,1,2017,234
5/21/2018,Montgomery,PA,1,2018,141
5/23/2018,Berks,PA,1,2018,143
5/24/2018,Chester,PA,1,2018,144
5/25/2018,Berks,PA,1,2018,145
5/29/2018,Chester,PA,1,2018,149
6/4/2018,Berks,PA,1,2018,155
6/4/2018,Berks,PA,1,2018,155
