"","ObservedDate","County","State","Count","Year","DOY","FirstiNatReport"
"1",2016-08-06,"Berks","PA",1,2016,219,"11/7/2017"
"2",2016-09-08,"Lehigh","PA",1,2016,252,"11/7/2017"
"3",2016-10-06,"Berks","PA",1,2016,280,"11/7/2017"
"4",2016-10-02,"Berks","PA",1,2016,276,"11/7/2017"
"5",2017-06-09,"Berks","PA",1,2017,160,"11/7/2017"
"6",2017-06-24,"Berks","PA",1,2017,175,"11/7/2017"
"7",2017-06-25,"Lehigh","PA",1,2017,176,"11/7/2017"
"8",2017-07-08,"Berks","PA",1,2017,189,"11/7/2017"
"9",2017-07-08,"Berks","PA",1,2017,189,"11/7/2017"
"10",2017-07-19,"Lehigh","PA",1,2017,200,"11/7/2017"
"11",2017-07-29,"Bucks","PA",1,2017,210,"11/7/2017"
"12",2017-08-05,"Montgomery","PA",1,2017,217,"11/7/2017"
"13",2017-08-11,"Chester","PA",1,2017,223,"11/7/2017"
"14",2017-08-02,"Berks","PA",1,2017,214,"11/7/2017"
"15",2017-08-16,"Montgomery","PA",1,2017,228,"11/7/2017"
"16",2017-08-24,"Monroe","PA",1,2017,236,"11/7/2017"
"17",2017-08-25,"Bucks","PA",1,2017,237,"11/7/2017"
"18",2017-09-05,"Montgomery","PA",1,2017,248,"11/7/2017"
"19",2017-09-10,"Lehigh","PA",1,2017,253,"11/7/2017"
"20",2017-09-10,"Lehigh","PA",1,2017,253,"11/7/2017"
"21",2017-09-08,"Berks","PA",1,2017,251,"11/7/2017"
"22",2017-09-19,"Berks","PA",1,2017,262,"11/7/2017"
"23",2017-09-21,"Berks","PA",1,2017,264,"11/7/2017"
"24",2017-09-27,"Bucks","PA",1,2017,270,"11/7/2017"
"25",2017-10-08,"Lehigh","PA",1,2017,281,"11/7/2017"
"26",2017-10-10,"Lehigh","PA",1,2017,283,"11/7/2017"
"27",2017-10-10,"Lehigh","PA",1,2017,283,"11/7/2017"
"28",2017-10-14,"Lehigh","PA",1,2017,287,"11/7/2017"
"29",2017-10-16,"Montgomery","PA",1,2017,289,"11/7/2017"
"30",2017-10-17,"Berks","PA",1,2017,290,"11/7/2017"
"31",2017-10-17,"Chester","PA",1,2017,290,"11/7/2017"
"32",2017-10-21,"Montgomery","PA",1,2017,294,"11/7/2017"
"33",2017-10-15,"Chester","PA",1,2017,288,"11/7/2017"
"34",2017-10-16,"Chester","PA",1,2017,289,"11/7/2017"
"35",2017-10-21,"Chester","PA",1,2017,294,"11/7/2017"
"36",2017-10-22,"Montgomery","PA",1,2017,295,"11/7/2017"
"37",2017-10-24,"Northampton","PA",1,2017,297,"11/7/2017"
"38",2017-11-02,"Lehigh","PA",1,2017,306,"11/7/2017"
"39",2017-11-03,"Berks","PA",1,2017,307,"11/7/2017"
"40",2017-09-15,"Bucks","PA",1,2017,258,"11/7/2017"
"41",2017-11-10,"Montgomery","PA",1,2017,314,"11/7/2017"
"42",2017-11-17,"Chester","PA",1,2017,321,"11/7/2017"
"43",2017-11-25,"Lehigh","PA",1,2017,329,"11/7/2017"
"44",2017-12-03,"Chester","PA",1,2017,337,"11/7/2017"
"45",2017-12-19,"Bucks","PA",1,2017,353,"11/7/2017"
"46",2018-01-14,"Montgomery","PA",1,2018,14,"11/7/2017"
"47",2015-11-07,"Berks","PA",1,2015,311,"11/7/2017"
"48",2017-08-22,"Berks","PA",1,2017,234,"11/7/2017"
"49",2018-05-21,"Montgomery","PA",1,2018,141,"11/7/2017"
"50",2018-05-23,"Berks","PA",1,2018,143,"11/7/2017"
"51",2018-05-24,"Chester","PA",1,2018,144,"11/7/2017"
"52",2018-05-25,"Berks","PA",1,2018,145,"11/7/2017"
"53",2018-05-29,"Chester","PA",1,2018,149,"11/7/2017"
"54",2018-06-04,"Berks","PA",1,2018,155,"11/7/2017"
"55",2018-06-04,"Berks","PA",1,2018,155,"11/7/2017"
"56",2018-06-04,"Montgomery","PA",1,2018,155,"11/7/2017"
"57",2018-06-04,"Bucks","PA",1,2018,155,"11/7/2017"
"58",2018-06-04,"Bucks","PA",1,2018,155,"11/7/2017"
"59",2018-06-10,"Bucks","PA",1,2018,161,"11/7/2017"
"60",2018-06-14,"Berks","PA",1,2018,165,"11/7/2017"
"61",2018-06-15,"Montgomery","PA",1,2018,166,"11/7/2017"
"62",2018-06-14,"Montgomery","PA",1,2018,165,"11/7/2017"
"63",2018-06-20,"Lancaster","PA",1,2018,171,"11/7/2017"
"64",2018-06-20,"Montgomery","PA",1,2018,171,"11/7/2017"
"65",2018-06-16,"Bucks","PA",1,2018,167,"11/7/2017"
"66",2018-06-22,"Montgomery","PA",1,2018,173,"11/7/2017"
"67",2018-06-14,"Montgomery","PA",1,2018,165,"11/7/2017"
"68",2018-06-24,"Montgomery","PA",1,2018,175,"11/7/2017"
"69",2018-06-25,"Montgomery","PA",1,2018,176,"11/7/2017"
"70",2018-06-28,"Berks","PA",1,2018,179,"11/7/2017"
"71",2018-07-02,"Bucks","PA",1,2018,183,"11/7/2017"
"72",2018-07-05,"Berks","PA",1,2018,186,"11/7/2017"
"73",2018-07-08,"Berks","PA",1,2018,189,"11/7/2017"
"74",2018-07-11,"Carbon","PA",1,2018,192,"11/7/2017"
"75",2018-07-12,"Bucks","PA",1,2018,193,"11/7/2017"
"76",2018-07-12,"Berks","PA",1,2018,193,"11/7/2017"
"77",2018-07-15,"Montgomery","PA",1,2018,196,"11/7/2017"
"78",2018-07-15,"Lehigh","PA",1,2018,196,"11/7/2017"
"79",2018-07-17,"Berks","PA",1,2018,198,"11/7/2017"
"80",2018-07-18,"Lehigh","PA",1,2018,199,"11/7/2017"
"81",2018-07-18,"Berks","PA",1,2018,199,"11/7/2017"
"82",2018-07-18,"Lehigh","PA",1,2018,199,"11/7/2017"
"83",2018-07-20,"Montgomery","PA",1,2018,201,"11/7/2017"
"84",2018-07-21,"Berks","PA",1,2018,202,"11/7/2017"
"85",2018-07-20,"Montgomery","PA",1,2018,201,"11/7/2017"
"86",2018-07-17,"Montgomery","PA",1,2018,198,"11/7/2017"
"87",2018-07-23,"Berks","PA",1,2018,204,"11/7/2017"
"88",2018-07-24,"Berks","PA",1,2018,205,"11/7/2017"
"89",2018-07-26,"Northampton","PA",1,2018,207,"11/7/2017"
"90",2018-07-28,"Montgomery","PA",1,2018,209,"11/7/2017"
"91",2018-07-28,"Berks","PA",1,2018,209,"11/7/2017"
"92",2018-07-28,"Bucks","PA",1,2018,209,"11/7/2017"
"93",2018-07-28,"Berks","PA",1,2018,209,"11/7/2017"
"94",2018-07-28,"Berks","PA",1,2018,209,"11/7/2017"
"95",2018-07-28,"Montgomery","PA",1,2018,209,"11/7/2017"
"96",2018-07-28,"Montgomery","PA",1,2018,209,"11/7/2017"
"97",2018-07-28,"Montgomery","PA",1,2018,209,"11/7/2017"
"98",2018-07-28,"Montgomery","PA",1,2018,209,"11/7/2017"
"99",2018-07-28,"Montgomery","PA",1,2018,209,"11/7/2017"
"100",2018-07-30,"Montgomery","PA",1,2018,211,"11/7/2017"
"101",2018-07-21,"Montgomery","PA",1,2018,202,"11/7/2017"
"102",2018-08-02,"Montgomery","PA",1,2018,214,"11/7/2017"
"103",2018-08-04,"Berks","PA",1,2018,216,"11/7/2017"
"104",2018-08-04,"Chester","PA",1,2018,216,"11/7/2017"
"105",2018-08-05,"Bucks","PA",1,2018,217,"11/7/2017"
"106",2018-08-06,"Montgomery","PA",1,2018,218,"11/7/2017"
"107",2018-08-06,"Bucks","PA",1,2018,218,"11/7/2017"
"108",2018-08-06,"Carbon","PA",1,2018,218,"11/7/2017"
"109",2018-08-06,"Montgomery","PA",1,2018,218,"11/7/2017"
"110",2018-08-06,"Chester","PA",1,2018,218,"11/7/2017"
"111",2018-08-07,"Bucks","PA",1,2018,219,"11/7/2017"
"112",2018-08-07,"Chester","PA",1,2018,219,"11/7/2017"
"113",2018-08-08,"Bucks","PA",1,2018,220,"11/7/2017"
"114",2018-08-09,"Montgomery","PA",1,2018,221,"11/7/2017"
"115",2018-08-09,"Lehigh","PA",1,2018,221,"11/7/2017"
"116",2018-08-10,"Montgomery","PA",1,2018,222,"11/7/2017"
"117",2018-08-08,"Montgomery","PA",1,2018,220,"11/7/2017"
"118",2018-08-11,"Chester","PA",1,2018,223,"11/7/2017"
"119",2018-08-11,"Lehigh","PA",1,2018,223,"11/7/2017"
"120",2018-08-12,"Montgomery","PA",1,2018,224,"11/7/2017"
"121",2018-08-11,"Berks","PA",1,2018,223,"11/7/2017"
"122",2018-08-14,"Montgomery","PA",1,2018,226,"11/7/2017"
"123",2018-08-15,"Montgomery","PA",1,2018,227,"11/7/2017"
"124",2018-08-16,"Bucks","PA",1,2018,228,"11/7/2017"
"125",2018-08-15,"Montgomery","PA",1,2018,227,"11/7/2017"
"126",2018-08-17,"Berks","PA",1,2018,229,"11/7/2017"
"127",2018-08-16,"Montgomery","PA",1,2018,228,"11/7/2017"
"128",2018-08-17,"Berks","PA",1,2018,229,"11/7/2017"
"129",2018-08-17,"Berks","PA",1,2018,229,"11/7/2017"
"130",2018-08-17,"Bucks","PA",1,2018,229,"11/7/2017"
"131",2018-08-18,"Montgomery","PA",1,2018,230,"11/7/2017"
"132",2018-08-18,"Lehigh","PA",1,2018,230,"11/7/2017"
