"","ObservedDate","County","State","Count","Year","DOY","FirstiNatReport","FirstInvasion"
"1",2016-08-06,"Berks","PA",1,2016,219,"11/7/2015","9/22/2014"
"2",2016-09-08,"Lehigh","PA",1,2016,252,"11/7/2015","9/22/2014"
"3",2016-10-06,"Berks","PA",1,2016,280,"11/7/2015","9/22/2014"
"4",2016-10-02,"Berks","PA",1,2016,276,"11/7/2015","9/22/2014"
"5",2017-06-09,"Berks","PA",1,2017,160,"11/7/2015","9/22/2014"
"6",2017-06-24,"Berks","PA",1,2017,175,"11/7/2015","9/22/2014"
"7",2017-06-25,"Lehigh","PA",1,2017,176,"11/7/2015","9/22/2014"
"8",2017-07-08,"Berks","PA",1,2017,189,"11/7/2015","9/22/2014"
"9",2017-07-08,"Berks","PA",1,2017,189,"11/7/2015","9/22/2014"
"10",2017-07-19,"Lehigh","PA",1,2017,200,"11/7/2015","9/22/2014"
"11",2017-07-29,"Bucks","PA",1,2017,210,"11/7/2015","9/22/2014"
"12",2017-08-05,"Montgomery","PA",1,2017,217,"11/7/2015","9/22/2014"
"13",2017-08-11,"Chester","PA",1,2017,223,"11/7/2015","9/22/2014"
"14",2017-08-02,"Berks","PA",1,2017,214,"11/7/2015","9/22/2014"
"15",2017-08-16,"Montgomery","PA",1,2017,228,"11/7/2015","9/22/2014"
"16",2017-08-24,"Monroe","PA",1,2017,236,"11/7/2015","9/22/2014"
"17",2017-08-25,"Bucks","PA",1,2017,237,"11/7/2015","9/22/2014"
"18",2017-09-05,"Montgomery","PA",1,2017,248,"11/7/2015","9/22/2014"
"19",2017-09-10,"Lehigh","PA",1,2017,253,"11/7/2015","9/22/2014"
"20",2017-09-10,"Lehigh","PA",1,2017,253,"11/7/2015","9/22/2014"
"21",2017-09-08,"Berks","PA",1,2017,251,"11/7/2015","9/22/2014"
"22",2017-09-19,"Berks","PA",1,2017,262,"11/7/2015","9/22/2014"
"23",2017-09-21,"Berks","PA",1,2017,264,"11/7/2015","9/22/2014"
"24",2017-09-27,"Bucks","PA",1,2017,270,"11/7/2015","9/22/2014"
"25",2017-10-08,"Lehigh","PA",1,2017,281,"11/7/2015","9/22/2014"
"26",2017-10-10,"Lehigh","PA",1,2017,283,"11/7/2015","9/22/2014"
"27",2017-10-10,"Lehigh","PA",1,2017,283,"11/7/2015","9/22/2014"
"28",2017-10-14,"Lehigh","PA",1,2017,287,"11/7/2015","9/22/2014"
"29",2017-10-16,"Montgomery","PA",1,2017,289,"11/7/2015","9/22/2014"
"30",2017-10-17,"Berks","PA",1,2017,290,"11/7/2015","9/22/2014"
"31",2017-10-17,"Chester","PA",1,2017,290,"11/7/2015","9/22/2014"
"32",2017-10-21,"Montgomery","PA",1,2017,294,"11/7/2015","9/22/2014"
"33",2017-10-15,"Chester","PA",1,2017,288,"11/7/2015","9/22/2014"
"34",2017-10-16,"Chester","PA",1,2017,289,"11/7/2015","9/22/2014"
"35",2017-10-21,"Chester","PA",1,2017,294,"11/7/2015","9/22/2014"
"36",2017-10-22,"Montgomery","PA",1,2017,295,"11/7/2015","9/22/2014"
"37",2017-10-24,"Northampton","PA",1,2017,297,"11/7/2015","9/22/2014"
"38",2017-11-02,"Lehigh","PA",1,2017,306,"11/7/2015","9/22/2014"
"39",2017-11-03,"Berks","PA",1,2017,307,"11/7/2015","9/22/2014"
"40",2017-09-15,"Bucks","PA",1,2017,258,"11/7/2015","9/22/2014"
"41",2017-11-10,"Montgomery","PA",1,2017,314,"11/7/2015","9/22/2014"
"42",2017-11-17,"Chester","PA",1,2017,321,"11/7/2015","9/22/2014"
"43",2017-11-25,"Lehigh","PA",1,2017,329,"11/7/2015","9/22/2014"
"44",2017-12-03,"Chester","PA",1,2017,337,"11/7/2015","9/22/2014"
"45",2017-12-19,"Bucks","PA",1,2017,353,"11/7/2015","9/22/2014"
"46",2018-01-14,"Montgomery","PA",1,2018,14,"11/7/2015","9/22/2014"
"47",2015-11-07,"Berks","PA",1,2015,311,"11/7/2015","9/22/2014"
