"","ObservedDate","State","Year","DOY","FirstiNatReport","FirstInvasion","iNatSince","SinceOfficialInvasion","Count2"
"1","1/1/2020","PA",2020,1,"11/7/2015","9/22/2014",1516,1927,1
"2","1/1/2022","NJ",2022,1,"7/18/2018","7/17/2018",1263,1264,2
"3","1/1/2022","PA",2022,1,"11/7/2015","9/22/2014",2247,2658,1
"4","1/10/2021","NY",2021,10,"9/5/2019","8/14/2020",493,149,1
"5","1/11/2020","PA",2020,11,"11/7/2015","9/22/2014",1526,1937,1
"6","1/11/2021","PA",2021,11,"11/7/2015","9/22/2014",1892,2303,1
"7","1/13/2021","NJ",2021,13,"7/18/2018","7/17/2018",910,911,1
"8","1/13/2022","NJ",2022,13,"7/18/2018","7/17/2018",1275,1276,5
"9","1/14/2018","PA",2018,14,"11/7/2015","9/22/2014",799,1210,1
"10","1/14/2021","PA",2021,14,"11/7/2015","9/22/2014",1895,2306,2
"11","1/16/2019","PA",2019,16,"11/7/2015","9/22/2014",1166,1577,1
"12","1/16/2021","PA",2021,16,"11/7/2015","9/22/2014",1897,2308,2
"13","1/17/2021","PA",2021,17,"11/7/2015","9/22/2014",1898,2309,1
"14","1/19/2020","PA",2020,19,"11/7/2015","9/22/2014",1534,1945,1
"15","1/20/2022","NY",2022,20,"9/5/2019","8/14/2020",868,524,1
"16","1/22/2022","PA",2022,22,"11/7/2015","9/22/2014",2268,2679,2
"17","1/23/2022","NJ",2022,23,"7/18/2018","7/17/2018",1285,1286,2
"18","1/23/2022","PA",2022,23,"11/7/2015","9/22/2014",2269,2680,1
"19","1/24/2017","PA",2017,24,"11/7/2015","9/22/2014",444,855,2
"20","1/25/2021","PA",2021,25,"11/7/2015","9/22/2014",1906,2317,1
"21","1/26/2020","PA",2020,26,"11/7/2015","9/22/2014",1541,1952,1
"22","1/3/2021","PA",2021,3,"11/7/2015","9/22/2014",1884,2295,1
"23","1/30/2021","PA",2021,30,"11/7/2015","9/22/2014",1911,2322,1
"24","1/4/2018","PA",2018,4,"11/7/2015","9/22/2014",789,1200,1
"25","1/4/2020","PA",2020,4,"11/7/2015","9/22/2014",1519,1930,1
"26","1/4/2021","PA",2021,4,"11/7/2015","9/22/2014",1885,2296,1
"27","1/4/2022","PA",2022,4,"11/7/2015","9/22/2014",2250,2661,1
"28","1/5/2022","NJ",2022,5,"7/18/2018","7/17/2018",1267,1268,2
"29","1/6/2022","NJ",2022,6,"7/18/2018","7/17/2018",1268,1269,1
"30","1/6/2022","PA",2022,6,"11/7/2015","9/22/2014",2252,2663,1
"31","1/8/2022","PA",2022,8,"11/7/2015","9/22/2014",2254,2665,1
"32","1/9/2021","PA",2021,9,"11/7/2015","9/22/2014",1890,2301,1
