"","ObservedDate","State","Year","DOY","FirstiNatReport","FirstInvasion","iNatSince","SinceOfficialInvasion","Count2"
"1","1/1/2020","PA",2020,1,"11/7/2017","9/22/2014",785,1927,1
"2","1/1/2022","NJ",2022,1,"7/18/2021","7/17/2018",167,1264,2
"3","1/1/2022","PA",2022,1,"11/7/2017","9/22/2014",1516,2658,1
"4","1/10/2021","NY",2021,10,"9/5/2019","8/14/2020",493,149,1
"5","1/11/2020","PA",2020,11,"11/7/2017","9/22/2014",795,1937,1
"6","1/11/2021","PA",2021,11,"11/7/2017","9/22/2014",1161,2303,1
"7","1/13/2021","NJ",2021,13,"7/18/2021","7/17/2018",-186,911,1
"8","1/13/2022","NJ",2022,13,"7/18/2021","7/17/2018",179,1276,5
"9","1/14/2018","PA",2018,14,"11/7/2017","9/22/2014",68,1210,1
"10","1/14/2021","PA",2021,14,"11/7/2017","9/22/2014",1164,2306,2
"11","1/16/2019","PA",2019,16,"11/7/2017","9/22/2014",435,1577,1
"12","1/16/2021","PA",2021,16,"11/7/2017","9/22/2014",1166,2308,2
"13","1/17/2021","PA",2021,17,"11/7/2017","9/22/2014",1167,2309,1
"14","1/19/2020","PA",2020,19,"11/7/2017","9/22/2014",803,1945,1
"15","1/20/2022","NY",2022,20,"9/5/2019","8/14/2020",868,524,1
"16","1/22/2022","PA",2022,22,"11/7/2017","9/22/2014",1537,2679,2
"17","1/23/2022","NJ",2022,23,"7/18/2021","7/17/2018",189,1286,2
"18","1/23/2022","PA",2022,23,"11/7/2017","9/22/2014",1538,2680,1
"19","1/24/2017","PA",2017,24,"11/7/2017","9/22/2014",-287,855,2
"20","1/25/2021","PA",2021,25,"11/7/2017","9/22/2014",1175,2317,1
"21","1/26/2020","PA",2020,26,"11/7/2017","9/22/2014",810,1952,1
"22","1/3/2021","PA",2021,3,"11/7/2017","9/22/2014",1153,2295,1
"23","1/30/2021","PA",2021,30,"11/7/2017","9/22/2014",1180,2322,1
"24","1/4/2018","PA",2018,4,"11/7/2017","9/22/2014",58,1200,1
"25","1/4/2020","PA",2020,4,"11/7/2017","9/22/2014",788,1930,1
"26","1/4/2021","PA",2021,4,"11/7/2017","9/22/2014",1154,2296,1
"27","1/4/2022","PA",2022,4,"11/7/2017","9/22/2014",1519,2661,1
"28","1/5/2022","NJ",2022,5,"7/18/2021","7/17/2018",171,1268,2
"29","1/6/2022","NJ",2022,6,"7/18/2021","7/17/2018",172,1269,1
"30","1/6/2022","PA",2022,6,"11/7/2017","9/22/2014",1521,2663,1
"31","1/8/2022","PA",2022,8,"11/7/2017","9/22/2014",1523,2665,1
"32","1/9/2021","PA",2021,9,"11/7/2017","9/22/2014",1159,2301,1
"33","1/9/2022","NY",2022,9,"9/5/2019","8/14/2020",857,513,11
"34","10/1/2018","PA",2018,274,"11/7/2017","9/22/2014",328,1470,2
"35","10/1/2019","NJ",2019,274,"7/18/2021","7/17/2018",-656,441,3
"36","10/1/2019","PA",2019,274,"11/7/2017","9/22/2014",693,1835,9
"37","10/1/2020","NJ",2020,275,"7/18/2021","7/17/2018",-290,807,7
"38","10/1/2020","NY",2020,275,"9/5/2019","8/14/2020",392,48,1
"39","10/1/2020","PA",2020,275,"11/7/2017","9/22/2014",1059,2201,23
"40","10/1/2021","NJ",2021,274,"7/18/2021","7/17/2018",75,1172,9
"41","10/1/2021","NY",2021,274,"9/5/2019","8/14/2020",757,413,12
"42","10/1/2021","PA",2021,274,"11/7/2017","9/22/2014",1424,2566,15
"43","10/10/2017","PA",2017,283,"11/7/2017","9/22/2014",-28,1114,2
"44","10/10/2018","PA",2018,283,"11/7/2017","9/22/2014",337,1479,1
"45","10/10/2019","NJ",2019,283,"7/18/2021","7/17/2018",-647,450,1
"46","10/10/2019","PA",2019,283,"11/7/2017","9/22/2014",702,1844,10
"47","10/10/2020","NJ",2020,284,"7/18/2021","7/17/2018",-281,816,11
"48","10/10/2020","PA",2020,284,"11/7/2017","9/22/2014",1068,2210,20
"49","10/10/2021","NJ",2021,283,"7/18/2021","7/17/2018",84,1181,6
"50","10/10/2021","NY",2021,283,"9/5/2019","8/14/2020",766,422,3
"51","10/10/2021","PA",2021,283,"11/7/2017","9/22/2014",1433,2575,5
"52","10/11/2018","PA",2018,284,"11/7/2017","9/22/2014",338,1480,1
"53","10/11/2019","PA",2019,284,"11/7/2017","9/22/2014",703,1845,1
"54","10/11/2020","NJ",2020,285,"7/18/2021","7/17/2018",-280,817,12
"55","10/11/2020","PA",2020,285,"11/7/2017","9/22/2014",1069,2211,16
"56","10/11/2021","NJ",2021,284,"7/18/2021","7/17/2018",85,1182,28
"57","10/11/2021","NY",2021,284,"9/5/2019","8/14/2020",767,423,6
"58","10/11/2021","PA",2021,284,"11/7/2017","9/22/2014",1434,2576,13
"59","10/12/2018","PA",2018,285,"11/7/2017","9/22/2014",339,1481,3
"60","10/12/2019","NJ",2019,285,"7/18/2021","7/17/2018",-645,452,1
"61","10/12/2019","NY",2019,285,"9/5/2019","8/14/2020",37,-307,1
"62","10/12/2019","PA",2019,285,"11/7/2017","9/22/2014",704,1846,20
"63","10/12/2020","NJ",2020,286,"7/18/2021","7/17/2018",-279,818,1
"64","10/12/2020","PA",2020,286,"11/7/2017","9/22/2014",1070,2212,8
"65","10/12/2021","NJ",2021,285,"7/18/2021","7/17/2018",86,1183,7
"66","10/12/2021","NY",2021,285,"9/5/2019","8/14/2020",768,424,7
"67","10/12/2021","PA",2021,285,"11/7/2017","9/22/2014",1435,2577,5
"68","10/13/2016","PA",2016,287,"11/7/2017","9/22/2014",-390,752,1
"69","10/13/2018","PA",2018,286,"11/7/2017","9/22/2014",340,1482,3
"70","10/13/2019","NJ",2019,286,"7/18/2021","7/17/2018",-644,453,2
"71","10/13/2019","PA",2019,286,"11/7/2017","9/22/2014",705,1847,9
"72","10/13/2020","NJ",2020,287,"7/18/2021","7/17/2018",-278,819,4
"73","10/13/2020","PA",2020,287,"11/7/2017","9/22/2014",1071,2213,8
"74","10/13/2021","NJ",2021,286,"7/18/2021","7/17/2018",87,1184,13
"75","10/13/2021","NY",2021,286,"9/5/2019","8/14/2020",769,425,4
"76","10/13/2021","PA",2021,286,"11/7/2017","9/22/2014",1436,2578,8
"77","10/14/2017","PA",2017,287,"11/7/2017","9/22/2014",-24,1118,1
"78","10/14/2019","NJ",2019,287,"7/18/2021","7/17/2018",-643,454,3
"79","10/14/2019","PA",2019,287,"11/7/2017","9/22/2014",706,1848,14
"80","10/14/2020","NJ",2020,288,"7/18/2021","7/17/2018",-277,820,4
"81","10/14/2020","NY",2020,288,"9/5/2019","8/14/2020",405,61,1
"82","10/14/2020","PA",2020,288,"11/7/2017","9/22/2014",1072,2214,17
"83","10/14/2021","NJ",2021,287,"7/18/2021","7/17/2018",88,1185,10
"84","10/14/2021","NY",2021,287,"9/5/2019","8/14/2020",770,426,3
