"","ObservedDate","County","State","Year","DOY","FirstiNatReport","FirstInvasion","iNatSince","SinceOfficialInvasion","Count2"
"1","9/5/2019","NY","NY",2019,248,"9/5/2019","8/14/2020",0,-344,1
"2","9/22/2019","Kings","NY",2019,265,"9/5/2019","8/14/2020",17,-327,1
"3","10/5/2019","Queens","NY",2019,278,"9/5/2019","8/14/2020",30,-314,1
"4","10/12/2019","Orange","NY",2019,285,"9/5/2019","8/14/2020",37,-307,1
"5","7/15/2020","Richmond","NY",2020,197,"9/5/2019","8/14/2020",314,-30,1
"6","8/3/2020","Richmond","NY",2020,216,"9/5/2019","8/14/2020",333,-11,1
"7","8/9/2020","Richmond","NY",2020,222,"9/5/2019","8/14/2020",339,-5,1
"8","8/10/2020","Nassau","NY",2020,223,"9/5/2019","8/14/2020",340,-4,1
"9","8/11/2020","Richmond","NY",2020,224,"9/5/2019","8/14/2020",341,-3,1
"10","8/13/2020","NY","NY",2020,226,"9/5/2019","8/14/2020",343,-1,1
"11","8/14/2020","Richmond","NY",2020,227,"9/5/2019","8/14/2020",344,0,1
"12","7/18/2018","Cape May","NJ",2018,199,"7/18/2021","7/17/2018",-1096,1,1
"13","8/19/2020","Queens","NY",2020,232,"9/5/2019","8/14/2020",349,5,1
"14","8/23/2020","NY","NY",2020,236,"9/5/2019","8/14/2020",353,9,1
"15","8/25/2020","NY","NY",2020,238,"9/5/2019","8/14/2020",355,11,1
"16","8/27/2020","Queens","NY",2020,240,"9/5/2019","8/14/2020",357,13,1
"17","8/29/2020","NY","NY",2020,242,"9/5/2019","8/14/2020",359,15,1
"18","8/31/2020","Nassau","NY",2020,244,"9/5/2019","8/14/2020",361,17,1
"19","9/3/2020","Suffolk","NY",2020,247,"9/5/2019","8/14/2020",364,20,1
"20","9/4/2020","Kings","NY",2020,248,"9/5/2019","8/14/2020",365,21,1
"21","9/4/2020","NY","NY",2020,248,"9/5/2019","8/14/2020",365,21,2
"22","9/5/2020","NY","NY",2020,249,"9/5/2019","8/14/2020",366,22,10
"23","9/5/2020","Queens","NY",2020,249,"9/5/2019","8/14/2020",366,22,1
"24","9/6/2020","NY","NY",2020,250,"9/5/2019","8/14/2020",367,23,2
"25","9/7/2020","NY","NY",2020,251,"9/5/2019","8/14/2020",368,24,1
"26","9/7/2020","Richmond","NY",2020,251,"9/5/2019","8/14/2020",368,24,2
"27","9/8/2020","NY","NY",2020,252,"9/5/2019","8/14/2020",369,25,6
"28","9/9/2020","NY","NY",2020,253,"9/5/2019","8/14/2020",370,26,2
"29","9/11/2020","NY","NY",2020,255,"9/5/2019","8/14/2020",372,28,1
"30","9/12/2020","Kings","NY",2020,256,"9/5/2019","8/14/2020",373,29,1
"31","9/12/2020","Orange","NY",2020,256,"9/5/2019","8/14/2020",373,29,1
"32","9/15/2020","NY","NY",2020,259,"9/5/2019","8/14/2020",376,32,1
"33","9/16/2020","Richmond","NY",2020,260,"9/5/2019","8/14/2020",377,33,1
"34","9/25/2020","Richmond","NY",2020,269,"9/5/2019","8/14/2020",386,42,1
"35","9/26/2020","NY","NY",2020,270,"9/5/2019","8/14/2020",387,43,1
"36","9/27/2020","NY","NY",2020,271,"9/5/2019","8/14/2020",388,44,1
"37","10/1/2020","Richmond","NY",2020,275,"9/5/2019","8/14/2020",392,48,1
"38","10/2/2020","Richmond","NY",2020,276,"9/5/2019","8/14/2020",393,49,1
"39","10/8/2020","Richmond","NY",2020,282,"9/5/2019","8/14/2020",399,55,1
"40","10/14/2020","NY","NY",2020,288,"9/5/2019","8/14/2020",405,61,1
"41","9/20/2018","Camden","NJ",2018,263,"7/18/2021","7/17/2018",-1032,65,1
"42","10/18/2020","Ulster","NY",2020,292,"9/5/2019","8/14/2020",409,65,1
"43","11/8/2020","Richmond","NY",2020,313,"9/5/2019","8/14/2020",430,86,2
"44","11/25/2020","Richmond","NY",2020,330,"9/5/2019","8/14/2020",447,103,1
"45","12/10/2020","Kings","NY",2020,345,"9/5/2019","8/14/2020",462,118,1
"46","1/10/2021","Richmond","NY",2021,10,"9/5/2019","8/14/2020",493,149,1
"47","4/19/2021","Rockland","NY",2021,109,"9/5/2019","8/14/2020",592,248,1
"48","5/19/2021","Richmond","NY",2021,139,"9/5/2019","8/14/2020",622,278,1
"49","5/23/2021","NY","NY",2021,143,"9/5/2019","8/14/2020",626,282,1
"50","5/24/2021","Richmond","NY",2021,144,"9/5/2019","8/14/2020",627,283,1
"51","5/25/2021","Richmond","NY",2021,145,"9/5/2019","8/14/2020",628,284,2
"52","6/4/2021","Richmond","NY",2021,155,"9/5/2019","8/14/2020",638,294,1
"53","6/15/2021","NY","NY",2021,166,"9/5/2019","8/14/2020",649,305,1
"54","6/29/2022","Cuyahoga","OH",2022,180,"6/29/2022","8/26/2021",0,307,3
"55","6/20/2021","Richmond","NY",2021,171,"9/5/2019","8/14/2020",654,310,1
"56","5/27/2019","Hunterdon","NJ",2019,147,"7/18/2021","7/17/2018",-783,314,1
"57","7/13/2022","Cuyahoga","OH",2022,194,"6/29/2022","8/26/2021",14,321,1
"58","6/6/2019","Hunterdon","NJ",2019,157,"7/18/2021","7/17/2018",-773,324,1
"59","7/4/2021","NY","NY",2021,185,"9/5/2019","8/14/2020",668,324,1
"60","7/5/2021","Richmond","NY",2021,186,"9/5/2019","8/14/2020",669,325,1
"61","7/6/2021","Richmond","NY",2021,187,"9/5/2019","8/14/2020",670,326,1
"62","7/7/2021","Rockland","NY",2021,188,"9/5/2019","8/14/2020",671,327,1
"63","6/10/2019","Hunterdon","NJ",2019,161,"7/18/2021","7/17/2018",-769,328,1
"64","7/8/2021","NY","NY",2021,189,"9/5/2019","8/14/2020",672,328,1
"65","6/11/2019","Hunterdon","NJ",2019,162,"7/18/2021","7/17/2018",-768,329,1
"66","7/11/2021","Richmond","NY",2021,192,"9/5/2019","8/14/2020",675,331,1
"67","7/15/2021","NY","NY",2021,196,"9/5/2019","8/14/2020",679,335,1
"68","7/16/2021","Rockland","NY",2021,197,"9/5/2019","8/14/2020",680,336,2
"69","7/18/2021","Queens","NY",2021,199,"9/5/2019","8/14/2020",682,338,1
"70","7/18/2021","Richmond","NY",2021,199,"9/5/2019","8/14/2020",682,338,2
"71","7/19/2021","NY","NY",2021,200,"9/5/2019","8/14/2020",683,339,3
"72","7/19/2021","Richmond","NY",2021,200,"9/5/2019","8/14/2020",683,339,1
"73","7/20/2021","Richmond","NY",2021,201,"9/5/2019","8/14/2020",684,340,1
"74","7/22/2021","Richmond","NY",2021,203,"9/5/2019","8/14/2020",686,342,1
"75","7/23/2021","Richmond","NY",2021,204,"9/5/2019","8/14/2020",687,343,1
"76","6/26/2019","Mercer","NJ",2019,177,"7/18/2021","7/17/2018",-753,344,1
"77","8/5/2022","Cuyahoga","OH",2022,217,"6/29/2022","8/26/2021",37,344,1
"78","6/27/2019","Mercer","NJ",2019,178,"7/18/2021","7/17/2018",-752,345,1
"79","7/26/2021","NY","NY",2021,207,"9/5/2019","8/14/2020",690,346,1
"80","7/26/2021","Richmond","NY",2021,207,"9/5/2019","8/14/2020",690,346,1
"81","7/26/2021","Rockland","NY",2021,207,"9/5/2019","8/14/2020",690,346,2
"82","7/27/2021","Kings","NY",2021,208,"9/5/2019","8/14/2020",691,347,1
"83","7/27/2021","NY","NY",2021,208,"9/5/2019","8/14/2020",691,347,5
"84","7/27/2021","Richmond","NY",2021,208,"9/5/2019","8/14/2020",691,347,1
"85","7/28/2021","Kings","NY",2021,209,"9/5/2019","8/14/2020",692,348,5
"86","7/28/2021","NY","NY",2021,209,"9/5/2019","8/14/2020",692,348,3
"87","7/28/2021","Queens","NY",2021,209,"9/5/2019","8/14/2020",692,348,1
"88","7/28/2021","Richmond","NY",2021,209,"9/5/2019","8/14/2020",692,348,3
"89","7/28/2021","Rockland","NY",2021,209,"9/5/2019","8/14/2020",692,348,1
"90","7/29/2021","NY","NY",2021,210,"9/5/2019","8/14/2020",693,349,1
"91","7/29/2021","Richmond","NY",2021,210,"9/5/2019","8/14/2020",693,349,2
"92","7/2/2019","Warren","NJ",2019,183,"7/18/2021","7/17/2018",-747,350,1
"93","7/30/2021","Kings","NY",2021,211,"9/5/2019","8/14/2020",694,350,1
"94","7/30/2021","NY","NY",2021,211,"9/5/2019","8/14/2020",694,350,4
"95","7/31/2021","NY","NY",2021,212,"9/5/2019","8/14/2020",695,351,2
"96","8/12/2022","Cuyahoga","OH",2022,224,"6/29/2022","8/26/2021",44,351,2
"97","8/1/2021","Nassau","NY",2021,213,"9/5/2019","8/14/2020",696,352,1
"98","8/2/2021","Kings","NY",2021,214,"9/5/2019","8/14/2020",697,353,1
"99","8/2/2021","Richmond","NY",2021,214,"9/5/2019","8/14/2020",697,353,1
"100","8/3/2021","Kings","NY",2021,215,"9/5/2019","8/14/2020",698,354,2
"101","8/3/2021","NY","NY",2021,215,"9/5/2019","8/14/2020",698,354,2
"102","8/3/2021","Queens","NY",2021,215,"9/5/2019","8/14/2020",698,354,1
"103","8/3/2021","Richmond","NY",2021,215,"9/5/2019","8/14/2020",698,354,1
"104","8/4/2021","NY","NY",2021,216,"9/5/2019","8/14/2020",699,355,3
"105","8/4/2021","Richmond","NY",2021,216,"9/5/2019","8/14/2020",699,355,2
"106","7/8/2019","Mercer","NJ",2019,189,"7/18/2021","7/17/2018",-741,356,1
"107","8/5/2021","NY","NY",2021,217,"9/5/2019","8/14/2020",700,356,3
"108","8/5/2021","Richmond","NY",2021,217,"9/5/2019","8/14/2020",700,356,2
"109","8/17/2022","Cuyahoga","OH",2022,229,"6/29/2022","8/26/2021",49,356,1
"110","8/6/2021","Bronx","NY",2021,218,"9/5/2019","8/14/2020",701,357,1
"111","8/6/2021","NY","NY",2021,218,"9/5/2019","8/14/2020",701,357,1
"112","8/6/2021","Richmond","NY",2021,218,"9/5/2019","8/14/2020",701,357,1
"113","8/18/2022","Cuyahoga","OH",2022,230,"6/29/2022","8/26/2021",50,357,1
"114","8/7/2021","Kings","NY",2021,219,"9/5/2019","8/14/2020",702,358,2
"115","8/7/2021","NY","NY",2021,219,"9/5/2019","8/14/2020",702,358,2
"116","8/7/2021","Richmond","NY",2021,219,"9/5/2019","8/14/2020",702,358,2
"117","8/8/2021","NY","NY",2021,220,"9/5/2019","8/14/2020",703,359,5
"118","8/9/2021","NY","NY",2021,221,"9/5/2019","8/14/2020",704,360,6
"119","8/10/2021","Bronx","NY",2021,222,"9/5/2019","8/14/2020",705,361,1
"120","8/10/2021","NY","NY",2021,222,"9/5/2019","8/14/2020",705,361,8
"121","8/10/2021","Orange","NY",2021,222,"9/5/2019","8/14/2020",705,361,2
"122","8/10/2021","Queens","NY",2021,222,"9/5/2019","8/14/2020",705,361,1
"123","8/11/2021","Kings","NY",2021,223,"9/5/2019","8/14/2020",706,362,1
"124","8/11/2021","NY","NY",2021,223,"9/5/2019","8/14/2020",706,362,3
"125","8/11/2021","Queens","NY",2021,223,"9/5/2019","8/14/2020",706,362,1
"126","8/11/2021","Richmond","NY",2021,223,"9/5/2019","8/14/2020",706,362,2
"127","8/23/2022","Cuyahoga","OH",2022,235,"6/29/2022","8/26/2021",55,362,1
"128","7/15/2019","Mercer","NJ",2019,196,"7/18/2021","7/17/2018",-734,363,1
"129","8/12/2021","Bronx","NY",2021,224,"9/5/2019","8/14/2020",707,363,1
"130","8/12/2021","NY","NY",2021,224,"9/5/2019","8/14/2020",707,363,10
"131","8/12/2021","Queens","NY",2021,224,"9/5/2019","8/14/2020",707,363,3
"132","8/12/2021","Richmond","NY",2021,224,"9/5/2019","8/14/2020",707,363,3
"133","8/24/2022","Cuyahoga","OH",2022,236,"6/29/2022","8/26/2021",56,363,2
"134","8/13/2021","Kings","NY",2021,225,"9/5/2019","8/14/2020",708,364,2
"135","8/13/2021","NY","NY",2021,225,"9/5/2019","8/14/2020",708,364,12
"136","8/13/2021","Queens","NY",2021,225,"9/5/2019","8/14/2020",708,364,2
"137","8/25/2022","Cuyahoga","OH",2022,237,"6/29/2022","8/26/2021",57,364,1
"138","7/17/2019","Mercer","NJ",2019,198,"7/18/2021","7/17/2018",-732,365,1
"139","8/14/2021","Bronx","NY",2021,226,"9/5/2019","8/14/2020",709,365,2
"140","8/14/2021","Kings","NY",2021,226,"9/5/2019","8/14/2020",709,365,6
"141","8/14/2021","NY","NY",2021,226,"9/5/2019","8/14/2020",709,365,7
"142","8/14/2021","Queens","NY",2021,226,"9/5/2019","8/14/2020",709,365,4
"143","8/14/2021","Richmond","NY",2021,226,"9/5/2019","8/14/2020",709,365,2
