"","ObservedDate","State","Year","DOY","FirstiNatReport","FirstInvasion","iNatSince","SinceOfficialInvasion","Count2"
"1","7/18/2018","NJ",2018,199,"7/18/2018","7/17/2018",0,1,1
"2","9/20/2018","NJ",2018,263,"7/18/2018","7/17/2018",64,65,1
"3","5/27/2019","NJ",2019,147,"7/18/2018","7/17/2018",313,314,1
"4","6/6/2019","NJ",2019,157,"7/18/2018","7/17/2018",323,324,1
"5","6/10/2019","NJ",2019,161,"7/18/2018","7/17/2018",327,328,1
"6","6/11/2019","NJ",2019,162,"7/18/2018","7/17/2018",328,329,1
"7","6/26/2019","NJ",2019,177,"7/18/2018","7/17/2018",343,344,1
"8","6/27/2019","NJ",2019,178,"7/18/2018","7/17/2018",344,345,1
"9","7/2/2019","NJ",2019,183,"7/18/2018","7/17/2018",349,350,1
"10","7/8/2019","NJ",2019,189,"7/18/2018","7/17/2018",355,356,1
"11","7/15/2019","NJ",2019,196,"7/18/2018","7/17/2018",362,363,1
"12","7/17/2019","NJ",2019,198,"7/18/2018","7/17/2018",364,365,1
"13","7/19/2019","NJ",2019,200,"7/18/2018","7/17/2018",366,367,1
"14","7/24/2019","NJ",2019,205,"7/18/2018","7/17/2018",371,372,3
"15","7/26/2019","NJ",2019,207,"7/18/2018","7/17/2018",373,374,1
"16","7/28/2019","NJ",2019,209,"7/18/2018","7/17/2018",375,376,1
"17","7/31/2019","NJ",2019,212,"7/18/2018","7/17/2018",378,379,1
"18","8/4/2019","NJ",2019,216,"7/18/2018","7/17/2018",382,383,1
"19","8/5/2019","NJ",2019,217,"7/18/2018","7/17/2018",383,384,1
"20","8/8/2019","NJ",2019,220,"7/18/2018","7/17/2018",386,387,1
"21","8/9/2019","NJ",2019,221,"7/18/2018","7/17/2018",387,388,2
"22","8/13/2019","NJ",2019,225,"7/18/2018","7/17/2018",391,392,1
"23","8/16/2019","NJ",2019,228,"7/18/2018","7/17/2018",394,395,4
"24","8/18/2019","NJ",2019,230,"7/18/2018","7/17/2018",396,397,1
"25","8/21/2019","NJ",2019,233,"7/18/2018","7/17/2018",399,400,1
"26","9/1/2019","NJ",2019,244,"7/18/2018","7/17/2018",410,411,1
"27","9/4/2019","NJ",2019,247,"7/18/2018","7/17/2018",413,414,1
"28","9/12/2019","NJ",2019,255,"7/18/2018","7/17/2018",421,422,1
"29","9/13/2019","NJ",2019,256,"7/18/2018","7/17/2018",422,423,1
"30","9/14/2019","NJ",2019,257,"7/18/2018","7/17/2018",423,424,4
"31","9/15/2019","NJ",2019,258,"7/18/2018","7/17/2018",424,425,3
"32","9/17/2019","NJ",2019,260,"7/18/2018","7/17/2018",426,427,3
"33","9/18/2019","NJ",2019,261,"7/18/2018","7/17/2018",427,428,1
"34","9/19/2019","NJ",2019,262,"7/18/2018","7/17/2018",428,429,1
"35","9/20/2019","NJ",2019,263,"7/18/2018","7/17/2018",429,430,2
"36","9/21/2019","NJ",2019,264,"7/18/2018","7/17/2018",430,431,1
"37","9/22/2019","NJ",2019,265,"7/18/2018","7/17/2018",431,432,2
"38","9/24/2019","NJ",2019,267,"7/18/2018","7/17/2018",433,434,1
"39","9/25/2019","NJ",2019,268,"7/18/2018","7/17/2018",434,435,4
"40","9/27/2019","NJ",2019,270,"7/18/2018","7/17/2018",436,437,3
"41","9/28/2019","NJ",2019,271,"7/18/2018","7/17/2018",437,438,1
"42","9/29/2019","NJ",2019,272,"7/18/2018","7/17/2018",438,439,2
"43","10/1/2019","NJ",2019,274,"7/18/2018","7/17/2018",440,441,3
"44","10/2/2019","NJ",2019,275,"7/18/2018","7/17/2018",441,442,1
"45","10/4/2019","NJ",2019,277,"7/18/2018","7/17/2018",443,444,1
"46","10/5/2019","NJ",2019,278,"7/18/2018","7/17/2018",444,445,3
"47","10/6/2019","NJ",2019,279,"7/18/2018","7/17/2018",445,446,2
"48","10/7/2019","NJ",2019,280,"7/18/2018","7/17/2018",446,447,3
"49","10/10/2019","NJ",2019,283,"7/18/2018","7/17/2018",449,450,1
"50","10/12/2019","NJ",2019,285,"7/18/2018","7/17/2018",451,452,1
"51","10/13/2019","NJ",2019,286,"7/18/2018","7/17/2018",452,453,2
"52","10/14/2019","NJ",2019,287,"7/18/2018","7/17/2018",453,454,3
"53","10/15/2019","NJ",2019,288,"7/18/2018","7/17/2018",454,455,2
"54","10/19/2019","NJ",2019,292,"7/18/2018","7/17/2018",458,459,1
"55","10/23/2019","NJ",2019,296,"7/18/2018","7/17/2018",462,463,2
"56","10/24/2019","NJ",2019,297,"7/18/2018","7/17/2018",463,464,1
"57","10/25/2019","NJ",2019,298,"7/18/2018","7/17/2018",464,465,1
"58","10/26/2019","NJ",2019,299,"7/18/2018","7/17/2018",465,466,5
"59","10/29/2019","NJ",2019,302,"7/18/2018","7/17/2018",468,469,2
"60","10/30/2019","NJ",2019,303,"7/18/2018","7/17/2018",469,470,1
"61","11/4/2019","NJ",2019,308,"7/18/2018","7/17/2018",474,475,1
"62","11/13/2019","NJ",2019,317,"7/18/2018","7/17/2018",483,484,1
"63","3/26/2020","NJ",2020,86,"7/18/2018","7/17/2018",617,618,1
"64","5/21/2020","NJ",2020,142,"7/18/2018","7/17/2018",673,674,3
"65","5/27/2020","NJ",2020,148,"7/18/2018","7/17/2018",679,680,1
"66","5/28/2020","NJ",2020,149,"7/18/2018","7/17/2018",680,681,1
"67","6/1/2020","NJ",2020,153,"7/18/2018","7/17/2018",684,685,1
"68","6/2/2020","NJ",2020,154,"7/18/2018","7/17/2018",685,686,1
"69","6/4/2020","NJ",2020,156,"7/18/2018","7/17/2018",687,688,1
"70","6/6/2020","NJ",2020,158,"7/18/2018","7/17/2018",689,690,2
"71","6/7/2020","NJ",2020,159,"7/18/2018","7/17/2018",690,691,1
"72","6/8/2020","NJ",2020,160,"7/18/2018","7/17/2018",691,692,1
"73","6/10/2020","NJ",2020,162,"7/18/2018","7/17/2018",693,694,1
"74","6/11/2020","NJ",2020,163,"7/18/2018","7/17/2018",694,695,1
"75","6/12/2020","NJ",2020,164,"7/18/2018","7/17/2018",695,696,3
"76","6/13/2020","NJ",2020,165,"7/18/2018","7/17/2018",696,697,3
"77","6/14/2020","NJ",2020,166,"7/18/2018","7/17/2018",697,698,1
"78","6/16/2020","NJ",2020,168,"7/18/2018","7/17/2018",699,700,1
"79","6/17/2020","NJ",2020,169,"7/18/2018","7/17/2018",700,701,1
"80","6/18/2020","NJ",2020,170,"7/18/2018","7/17/2018",701,702,1
"81","6/19/2020","NJ",2020,171,"7/18/2018","7/17/2018",702,703,1
"82","6/20/2020","NJ",2020,172,"7/18/2018","7/17/2018",703,704,2
"83","6/21/2020","NJ",2020,173,"7/18/2018","7/17/2018",704,705,2
"84","6/22/2020","NJ",2020,174,"7/18/2018","7/17/2018",705,706,1
"85","6/25/2020","NJ",2020,177,"7/18/2018","7/17/2018",708,709,1
"86","6/26/2020","NJ",2020,178,"7/18/2018","7/17/2018",709,710,2
"87","6/27/2020","NJ",2020,179,"7/18/2018","7/17/2018",710,711,4
"88","6/28/2020","NJ",2020,180,"7/18/2018","7/17/2018",711,712,7
"89","6/29/2020","NJ",2020,181,"7/18/2018","7/17/2018",712,713,2
"90","6/30/2020","NJ",2020,182,"7/18/2018","7/17/2018",713,714,2
"91","7/2/2020","NJ",2020,184,"7/18/2018","7/17/2018",715,716,2
"92","7/3/2020","NJ",2020,185,"7/18/2018","7/17/2018",716,717,2
"93","7/4/2020","NJ",2020,186,"7/18/2018","7/17/2018",717,718,4
"94","7/5/2020","NJ",2020,187,"7/18/2018","7/17/2018",718,719,5
"95","7/6/2020","NJ",2020,188,"7/18/2018","7/17/2018",719,720,3
"96","7/7/2020","NJ",2020,189,"7/18/2018","7/17/2018",720,721,2
"97","7/8/2020","NJ",2020,190,"7/18/2018","7/17/2018",721,722,3
"98","7/9/2020","NJ",2020,191,"7/18/2018","7/17/2018",722,723,3
"99","7/11/2020","NJ",2020,193,"7/18/2018","7/17/2018",724,725,2
"100","7/12/2020","NJ",2020,194,"7/18/2018","7/17/2018",725,726,2
"101","7/13/2020","NJ",2020,195,"7/18/2018","7/17/2018",726,727,5
"102","7/14/2020","NJ",2020,196,"7/18/2018","7/17/2018",727,728,2
"103","7/15/2020","NJ",2020,197,"7/18/2018","7/17/2018",728,729,2
"104","7/16/2020","NJ",2020,198,"7/18/2018","7/17/2018",729,730,6
