ObservedDate,County,State,Count,Year,DOY,FirstiNatReport,FirstInvasion,iNatSince,SinceOfficialInvasion
8/6/2016,Berks,PA,1,2016,219,11/7/2015,9/22/2014,273,684
9/8/2016,Lehigh,PA,1,2016,252,11/7/2015,9/22/2014,306,717
10/6/2016,Berks,PA,1,2016,280,11/7/2015,9/22/2014,334,745
10/2/2016,Berks,PA,1,2016,276,11/7/2015,9/22/2014,330,741
6/9/2017,Berks,PA,1,2017,160,11/7/2015,9/22/2014,580,991
6/24/2017,Berks,PA,1,2017,175,11/7/2015,9/22/2014,595,1006
6/25/2017,Lehigh,PA,1,2017,176,11/7/2015,9/22/2014,596,1007
7/8/2017,Berks,PA,1,2017,189,11/7/2015,9/22/2014,609,1020
7/8/2017,Berks,PA,1,2017,189,11/7/2015,9/22/2014,609,1020
7/19/2017,Lehigh,PA,1,2017,200,11/7/2015,9/22/2014,620,1031
7/29/2017,Bucks,PA,1,2017,210,11/7/2015,9/22/2014,630,1041
8/5/2017,Montgomery,PA,1,2017,217,11/7/2015,9/22/2014,637,1048
8/11/2017,Chester,PA,1,2017,223,11/7/2015,9/22/2014,643,1054
8/2/2017,Berks,PA,1,2017,214,11/7/2015,9/22/2014,634,1045
8/16/2017,Montgomery,PA,1,2017,228,11/7/2015,9/22/2014,648,1059
8/24/2017,Monroe,PA,1,2017,236,11/7/2015,9/22/2014,656,1067
8/25/2017,Bucks,PA,1,2017,237,11/7/2015,9/22/2014,657,1068
9/5/2017,Montgomery,PA,1,2017,248,11/7/2015,9/22/2014,668,1079
9/10/2017,Lehigh,PA,1,2017,253,11/7/2015,9/22/2014,673,1084
9/10/2017,Lehigh,PA,1,2017,253,11/7/2015,9/22/2014,673,1084
9/8/2017,Berks,PA,1,2017,251,11/7/2015,9/22/2014,671,1082
9/19/2017,Berks,PA,1,2017,262,11/7/2015,9/22/2014,682,1093
9/21/2017,Berks,PA,1,2017,264,11/7/2015,9/22/2014,684,1095
9/27/2017,Bucks,PA,1,2017,270,11/7/2015,9/22/2014,690,1101
10/8/2017,Lehigh,PA,1,2017,281,11/7/2015,9/22/2014,701,1112
10/10/2017,Lehigh,PA,1,2017,283,11/7/2015,9/22/2014,703,1114
10/10/2017,Lehigh,PA,1,2017,283,11/7/2015,9/22/2014,703,1114
10/14/2017,Lehigh,PA,1,2017,287,11/7/2015,9/22/2014,707,1118
10/16/2017,Montgomery,PA,1,2017,289,11/7/2015,9/22/2014,709,1120
10/17/2017,Berks,PA,1,2017,290,11/7/2015,9/22/2014,710,1121
10/17/2017,Chester,PA,1,2017,290,11/7/2015,9/22/2014,710,1121
10/21/2017,Montgomery,PA,1,2017,294,11/7/2015,9/22/2014,714,1125
10/15/2017,Chester,PA,1,2017,288,11/7/2015,9/22/2014,708,1119
10/16/2017,Chester,PA,1,2017,289,11/7/2015,9/22/2014,709,1120
10/21/2017,Chester,PA,1,2017,294,11/7/2015,9/22/2014,714,1125
10/22/2017,Montgomery,PA,1,2017,295,11/7/2015,9/22/2014,715,1126
10/24/2017,Northampton,PA,1,2017,297,11/7/2015,9/22/2014,717,1128
11/2/2017,Lehigh,PA,1,2017,306,11/7/2015,9/22/2014,726,1137
11/3/2017,Berks,PA,1,2017,307,11/7/2015,9/22/2014,727,1138
9/15/2017,Bucks,PA,1,2017,258,11/7/2015,9/22/2014,678,1089
11/10/2017,Montgomery,PA,1,2017,314,11/7/2015,9/22/2014,734,1145
11/17/2017,Chester,PA,1,2017,321,11/7/2015,9/22/2014,741,1152
11/25/2017,Lehigh,PA,1,2017,329,11/7/2015,9/22/2014,749,1160
12/3/2017,Chester,PA,1,2017,337,11/7/2015,9/22/2014,757,1168
12/19/2017,Bucks,PA,1,2017,353,11/7/2015,9/22/2014,773,1184
1/14/2018,Montgomery,PA,1,2018,14,11/7/2015,9/22/2014,799,1210
11/7/2015,Berks,PA,1,2015,311,11/7/2015,9/22/2014,0,411
8/22/2017,Berks,PA,1,2017,234,11/7/2015,9/22/2014,654,1065
5/21/2018,Montgomery,PA,1,2018,141,11/7/2015,9/22/2014,926,1337
5/23/2018,Berks,PA,1,2018,143,11/7/2015,9/22/2014,928,1339
5/24/2018,Chester,PA,1,2018,144,11/7/2015,9/22/2014,929,1340
5/25/2018,Berks,PA,1,2018,145,11/7/2015,9/22/2014,930,1341
5/29/2018,Chester,PA,1,2018,149,11/7/2015,9/22/2014,934,1345
6/4/2018,Berks,PA,1,2018,155,11/7/2015,9/22/2014,940,1351
6/4/2018,Berks,PA,1,2018,155,11/7/2015,9/22/2014,940,1351
6/4/2018,Montgomery,PA,1,2018,155,11/7/2015,9/22/2014,940,1351
6/4/2018,Bucks,PA,1,2018,155,11/7/2015,9/22/2014,940,1351
6/4/2018,Bucks,PA,1,2018,155,11/7/2015,9/22/2014,940,1351
6/10/2018,Bucks,PA,1,2018,161,11/7/2015,9/22/2014,946,1357
6/14/2018,Berks,PA,1,2018,165,11/7/2015,9/22/2014,950,1361
6/15/2018,Montgomery,PA,1,2018,166,11/7/2015,9/22/2014,951,1362
6/14/2018,Montgomery,PA,1,2018,165,11/7/2015,9/22/2014,950,1361
6/20/2018,Lancaster,PA,1,2018,171,11/7/2015,9/22/2014,956,1367
6/20/2018,Montgomery,PA,1,2018,171,11/7/2015,9/22/2014,956,1367
6/16/2018,Bucks,PA,1,2018,167,11/7/2015,9/22/2014,952,1363
6/22/2018,Montgomery,PA,1,2018,173,11/7/2015,9/22/2014,958,1369
6/14/2018,Montgomery,PA,1,2018,165,11/7/2015,9/22/2014,950,1361
6/24/2018,Montgomery,PA,1,2018,175,11/7/2015,9/22/2014,960,1371
6/25/2018,Montgomery,PA,1,2018,176,11/7/2015,9/22/2014,961,1372
6/28/2018,Berks,PA,1,2018,179,11/7/2015,9/22/2014,964,1375
7/2/2018,Bucks,PA,1,2018,183,11/7/2015,9/22/2014,968,1379
7/5/2018,Berks,PA,1,2018,186,11/7/2015,9/22/2014,971,1382
7/8/2018,Berks,PA,1,2018,189,11/7/2015,9/22/2014,974,1385
7/11/2018,Carbon,PA,1,2018,192,11/7/2015,9/22/2014,977,1388
7/12/2018,Bucks,PA,1,2018,193,11/7/2015,9/22/2014,978,1389
7/12/2018,Berks,PA,1,2018,193,11/7/2015,9/22/2014,978,1389
7/15/2018,Montgomery,PA,1,2018,196,11/7/2015,9/22/2014,981,1392
7/15/2018,Lehigh,PA,1,2018,196,11/7/2015,9/22/2014,981,1392
7/17/2018,Berks,PA,1,2018,198,11/7/2015,9/22/2014,983,1394
7/18/2018,Lehigh,PA,1,2018,199,11/7/2015,9/22/2014,984,1395
7/18/2018,Berks,PA,1,2018,199,11/7/2015,9/22/2014,984,1395
7/18/2018,Lehigh,PA,1,2018,199,11/7/2015,9/22/2014,984,1395
7/20/2018,Montgomery,PA,1,2018,201,11/7/2015,9/22/2014,986,1397
7/21/2018,Berks,PA,1,2018,202,11/7/2015,9/22/2014,987,1398
7/20/2018,Montgomery,PA,1,2018,201,11/7/2015,9/22/2014,986,1397
7/17/2018,Montgomery,PA,1,2018,198,11/7/2015,9/22/2014,983,1394
7/23/2018,Berks,PA,1,2018,204,11/7/2015,9/22/2014,989,1400
7/24/2018,Berks,PA,1,2018,205,11/7/2015,9/22/2014,990,1401
7/26/2018,Northampton,PA,1,2018,207,11/7/2015,9/22/2014,992,1403
7/28/2018,Montgomery,PA,1,2018,209,11/7/2015,9/22/2014,994,1405
7/28/2018,Berks,PA,1,2018,209,11/7/2015,9/22/2014,994,1405
7/28/2018,Bucks,PA,1,2018,209,11/7/2015,9/22/2014,994,1405
7/28/2018,Berks,PA,1,2018,209,11/7/2015,9/22/2014,994,1405
7/28/2018,Berks,PA,1,2018,209,11/7/2015,9/22/2014,994,1405
7/28/2018,Montgomery,PA,1,2018,209,11/7/2015,9/22/2014,994,1405
7/28/2018,Montgomery,PA,1,2018,209,11/7/2015,9/22/2014,994,1405
7/28/2018,Montgomery,PA,1,2018,209,11/7/2015,9/22/2014,994,1405
7/28/2018,Montgomery,PA,1,2018,209,11/7/2015,9/22/2014,994,1405
7/28/2018,Montgomery,PA,1,2018,209,11/7/2015,9/22/2014,994,1405
7/30/2018,Montgomery,PA,1,2018,211,11/7/2015,9/22/2014,996,1407
7/21/2018,Montgomery,PA,1,2018,202,11/7/2015,9/22/2014,987,1398
8/2/2018,Montgomery,PA,1,2018,214,11/7/2015,9/22/2014,999,1410
8/4/2018,Berks,PA,1,2018,216,11/7/2015,9/22/2014,1001,1412
8/4/2018,Chester,PA,1,2018,216,11/7/2015,9/22/2014,1001,1412
8/5/2018,Bucks,PA,1,2018,217,11/7/2015,9/22/2014,1002,1413
8/6/2018,Montgomery,PA,1,2018,218,11/7/2015,9/22/2014,1003,1414
8/6/2018,Bucks,PA,1,2018,218,11/7/2015,9/22/2014,1003,1414
8/6/2018,Carbon,PA,1,2018,218,11/7/2015,9/22/2014,1003,1414
8/6/2018,Montgomery,PA,1,2018,218,11/7/2015,9/22/2014,1003,1414
8/6/2018,Chester,PA,1,2018,218,11/7/2015,9/22/2014,1003,1414
8/7/2018,Bucks,PA,1,2018,219,11/7/2015,9/22/2014,1004,1415
8/7/2018,Chester,PA,1,2018,219,11/7/2015,9/22/2014,1004,1415
8/8/2018,Bucks,PA,1,2018,220,11/7/2015,9/22/2014,1005,1416
8/9/2018,Montgomery,PA,1,2018,221,11/7/2015,9/22/2014,1006,1417
8/9/2018,Lehigh,PA,1,2018,221,11/7/2015,9/22/2014,1006,1417
8/10/2018,Montgomery,PA,1,2018,222,11/7/2015,9/22/2014,1007,1418
8/8/2018,Montgomery,PA,1,2018,220,11/7/2015,9/22/2014,1005,1416
8/11/2018,Chester,PA,1,2018,223,11/7/2015,9/22/2014,1008,1419
8/11/2018,Lehigh,PA,1,2018,223,11/7/2015,9/22/2014,1008,1419
8/12/2018,Montgomery,PA,1,2018,224,11/7/2015,9/22/2014,1009,1420
8/11/2018,Berks,PA,1,2018,223,11/7/2015,9/22/2014,1008,1419
8/14/2018,Montgomery,PA,1,2018,226,11/7/2015,9/22/2014,1011,1422
8/15/2018,Montgomery,PA,1,2018,227,11/7/2015,9/22/2014,1012,1423
8/16/2018,Bucks,PA,1,2018,228,11/7/2015,9/22/2014,1013,1424
8/15/2018,Montgomery,PA,1,2018,227,11/7/2015,9/22/2014,1012,1423
8/17/2018,Berks,PA,1,2018,229,11/7/2015,9/22/2014,1014,1425
8/16/2018,Montgomery,PA,1,2018,228,11/7/2015,9/22/2014,1013,1424
8/17/2018,Berks,PA,1,2018,229,11/7/2015,9/22/2014,1014,1425
8/17/2018,Berks,PA,1,2018,229,11/7/2015,9/22/2014,1014,1425
8/17/2018,Bucks,PA,1,2018,229,11/7/2015,9/22/2014,1014,1425
8/18/2018,Montgomery,PA,1,2018,230,11/7/2015,9/22/2014,1015,1426
8/18/2018,Lehigh,PA,1,2018,230,11/7/2015,9/22/2014,1015,1426
8/19/2018,Montgomery,PA,1,2018,231,11/7/2015,9/22/2014,1016,1427
8/18/2018,Montgomery,PA,1,2018,230,11/7/2015,9/22/2014,1015,1426
8/18/2018,Montgomery,PA,1,2018,230,11/7/2015,9/22/2014,1015,1426
8/18/2018,Berks,PA,1,2018,230,11/7/2015,9/22/2014,1015,1426
8/20/2018,Montgomery,PA,1,2018,232,11/7/2015,9/22/2014,1017,1428
8/17/2018,Berks,PA,1,2018,229,11/7/2015,9/22/2014,1014,1425
8/19/2018,Berks,PA,1,2018,231,11/7/2015,9/22/2014,1016,1427
8/21/2018,Chester,PA,1,2018,233,11/7/2015,9/22/2014,1018,1429
8/22/2018,Montgomery,PA,1,2018,234,11/7/2015,9/22/2014,1019,1430
8/23/2018,Lehigh,PA,1,2018,235,11/7/2015,9/22/2014,1020,1431
8/25/2018,Lehigh,PA,1,2018,237,11/7/2015,9/22/2014,1022,1433
8/25/2018,Lehigh,PA,1,2018,237,11/7/2015,9/22/2014,1022,1433
8/25/2018,Philadelphia,PA,1,2018,237,11/7/2015,9/22/2014,1022,1433
8/28/2018,Montgomery,PA,1,2018,240,11/7/2015,9/22/2014,1025,1436
8/16/2018,Montgomery,PA,1,2018,228,11/7/2015,9/22/2014,1013,1424
8/26/2018,Montgomery,PA,1,2018,238,11/7/2015,9/22/2014,1023,1434
8/26/2018,Montgomery,PA,1,2018,238,11/7/2015,9/22/2014,1023,1434
8/23/2018,Montgomery,PA,1,2018,235,11/7/2015,9/22/2014,1020,1431
8/27/2018,Chester,PA,1,2018,239,11/7/2015,9/22/2014,1024,1435
8/28/2018,Montgomery,PA,1,2018,240,11/7/2015,9/22/2014,1025,1436
8/18/2018,Berks,PA,1,2018,230,11/7/2015,9/22/2014,1015,1426
8/29/2018,Montgomery,PA,1,2018,241,11/7/2015,9/22/2014,1026,1437
8/29/2018,Northampton,PA,1,2018,241,11/7/2015,9/22/2014,1026,1437
8/30/2018,Northampton,PA,1,2018,242,11/7/2015,9/22/2014,1027,1438
8/30/2018,Lehigh,PA,1,2018,242,11/7/2015,9/22/2014,1027,1438
8/24/2018,Montgomery,PA,1,2018,236,11/7/2015,9/22/2014,1021,1432
9/1/2018,Chester,PA,1,2018,244,11/7/2015,9/22/2014,1029,1440
9/1/2018,Northampton,PA,1,2018,244,11/7/2015,9/22/2014,1029,1440
9/1/2018,Montgomery,PA,1,2018,244,11/7/2015,9/22/2014,1029,1440
9/1/2018,Lehigh,PA,1,2018,244,11/7/2015,9/22/2014,1029,1440
9/1/2018,Centre,PA,1,2018,244,11/7/2015,9/22/2014,1029,1440
7/15/2017,Lebanon,PA,1,2017,196,11/7/2015,9/22/2014,616,1027
9/2/2018,Montgomery,PA,1,2018,245,11/7/2015,9/22/2014,1030,1441
8/26/2018,Chester,PA,1,2018,238,11/7/2015,9/22/2014,1023,1434
9/3/2018,Washington,PA,1,2018,246,11/7/2015,9/22/2014,1031,1442
9/3/2018,Bucks,PA,1,2018,246,11/7/2015,9/22/2014,1031,1442
9/4/2018,Montgomery,PA,1,2018,247,11/7/2015,9/22/2014,1032,1443
9/5/2018,Montgomery,PA,1,2018,248,11/7/2015,9/22/2014,1033,1444
9/2/2018,Lehigh,PA,1,2018,245,11/7/2015,9/22/2014,1030,1441
9/6/2018,Northampton,PA,1,2018,249,11/7/2015,9/22/2014,1034,1445
9/7/2018,Berks,PA,1,2018,250,11/7/2015,9/22/2014,1035,1446
9/7/2018,Lehigh,PA,1,2018,250,11/7/2015,9/22/2014,1035,1446
9/7/2018,Montgomery,PA,1,2018,250,11/7/2015,9/22/2014,1035,1446
9/8/2018,Berks,PA,1,2018,251,11/7/2015,9/22/2014,1036,1447
9/8/2018,Lancaster,PA,1,2018,251,11/7/2015,9/22/2014,1036,1447
9/8/2018,Lancaster,PA,1,2018,251,11/7/2015,9/22/2014,1036,1447
9/8/2018,Lancaster,PA,1,2018,251,11/7/2015,9/22/2014,1036,1447
9/8/2018,Northampton,PA,1,2018,251,11/7/2015,9/22/2014,1036,1447
9/8/2018,Berks,PA,1,2018,251,11/7/2015,9/22/2014,1036,1447
9/8/2018,Berks,PA,1,2018,251,11/7/2015,9/22/2014,1036,1447
9/7/2018,Northampton,PA,1,2018,250,11/7/2015,9/22/2014,1035,1446
9/8/2018,Lehigh,PA,1,2018,251,11/7/2015,9/22/2014,1036,1447
9/8/2018,Chester,PA,1,2018,251,11/7/2015,9/22/2014,1036,1447
9/5/2018,Lehigh,PA,1,2018,248,11/7/2015,9/22/2014,1033,1444
9/1/2018,Berks,PA,1,2018,244,11/7/2015,9/22/2014,1029,1440
9/12/2018,Montgomery,PA,1,2018,255,11/7/2015,9/22/2014,1040,1451
9/13/2018,Montgomery,PA,1,2018,256,11/7/2015,9/22/2014,1041,1452
9/13/2018,Montgomery,PA,1,2018,256,11/7/2015,9/22/2014,1041,1452
9/13/2018,Bucks,PA,1,2018,256,11/7/2015,9/22/2014,1041,1452
9/13/2018,Bucks,PA,1,2018,256,11/7/2015,9/22/2014,1041,1452
9/14/2018,Berks,PA,1,2018,257,11/7/2015,9/22/2014,1042,1453
9/15/2018,Berks,PA,1,2018,258,11/7/2015,9/22/2014,1043,1454
9/15/2018,Lancaster,PA,1,2018,258,11/7/2015,9/22/2014,1043,1454
9/15/2018,Lancaster,PA,1,2018,258,11/7/2015,9/22/2014,1043,1454
9/15/2018,Lancaster,PA,1,2018,258,11/7/2015,9/22/2014,1043,1454
9/15/2018,Chester,PA,1,2018,258,11/7/2015,9/22/2014,1043,1454
9/15/2018,Chester,PA,1,2018,258,11/7/2015,9/22/2014,1043,1454
9/15/2018,Chester,PA,1,2018,258,11/7/2015,9/22/2014,1043,1454
9/16/2018,Cumberland,PA,1,2018,259,11/7/2015,9/22/2014,1044,1455
9/16/2018,Bucks,PA,1,2018,259,11/7/2015,9/22/2014,1044,1455
9/16/2018,Lehigh,PA,1,2018,259,11/7/2015,9/22/2014,1044,1455
9/16/2018,Berks,PA,1,2018,259,11/7/2015,9/22/2014,1044,1455
9/16/2018,Chester,PA,1,2018,259,11/7/2015,9/22/2014,1044,1455
9/17/2018,Northampton,PA,1,2018,260,11/7/2015,9/22/2014,1045,1456
9/17/2018,Montgomery,PA,1,2018,260,11/7/2015,9/22/2014,1045,1456
9/17/2018,Northampton,PA,1,2018,260,11/7/2015,9/22/2014,1045,1456
9/14/2018,Northampton,PA,1,2018,257,11/7/2015,9/22/2014,1042,1453
9/18/2018,Lehigh,PA,1,2018,261,11/7/2015,9/22/2014,1046,1457
9/18/2018,Northampton,PA,1,2018,261,11/7/2015,9/22/2014,1046,1457
9/18/2018,Lehigh,PA,1,2018,261,11/7/2015,9/22/2014,1046,1457
9/19/2018,Northampton,PA,1,2018,262,11/7/2015,9/22/2014,1047,1458
9/19/2018,Chester,PA,1,2018,262,11/7/2015,9/22/2014,1047,1458
9/19/2018,Chester,PA,1,2018,262,11/7/2015,9/22/2014,1047,1458
9/19/2018,Chester,PA,1,2018,262,11/7/2015,9/22/2014,1047,1458
9/19/2018,Montgomery,PA,1,2018,262,11/7/2015,9/22/2014,1047,1458
9/19/2018,Montgomery,PA,1,2018,262,11/7/2015,9/22/2014,1047,1458
8/30/2018,Northampton,PA,1,2018,242,11/7/2015,9/22/2014,1027,1438
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Lancaster,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/20/2018,Camden,NJ,1,2018,263,7/18/2018,7/17/2018,64,65
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Berks,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Berks,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Berks,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Berks,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Montgomery,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/21/2018,Lancaster,PA,1,2018,264,11/7/2015,9/22/2014,1049,1460
9/22/2018,Montgomery,PA,1,2018,265,11/7/2015,9/22/2014,1050,1461
9/22/2018,Montgomery,PA,1,2018,265,11/7/2015,9/22/2014,1050,1461
9/23/2018,Lehigh,PA,1,2018,266,11/7/2015,9/22/2014,1051,1462
7/18/2018,Cape May,NJ,1,2018,199,7/18/2018,7/17/2018,0,1
9/20/2018,Montgomery,PA,1,2018,263,11/7/2015,9/22/2014,1048,1459
9/24/2018,Berks,PA,1,2018,267,11/7/2015,9/22/2014,1052,1463
8/27/2018,Lehigh,PA,1,2018,239,11/7/2015,9/22/2014,1024,1435
9/24/2018,Chester,PA,1,2018,267,11/7/2015,9/22/2014,1052,1463
9/25/2018,Northampton,PA,1,2018,268,11/7/2015,9/22/2014,1053,1464
9/26/2018,Lehigh,PA,1,2018,269,11/7/2015,9/22/2014,1054,1465
9/26/2018,Northampton,PA,1,2018,269,11/7/2015,9/22/2014,1054,1465
9/26/2018,Chester,PA,1,2018,269,11/7/2015,9/22/2014,1054,1465
9/26/2018,Lehigh,PA,1,2018,269,11/7/2015,9/22/2014,1054,1465
9/26/2018,Montgomery,PA,1,2018,269,11/7/2015,9/22/2014,1054,1465
9/26/2018,Lehigh,PA,1,2018,269,11/7/2015,9/22/2014,1054,1465
8/26/2018,Chester,PA,1,2018,238,11/7/2015,9/22/2014,1023,1434
9/27/2018,Berks,PA,1,2018,270,11/7/2015,9/22/2014,1055,1466
9/26/2018,Chester,PA,1,2018,269,11/7/2015,9/22/2014,1054,1465
9/15/2018,Monroe,PA,1,2018,258,11/7/2015,9/22/2014,1043,1454
9/23/2018,Lancaster,PA,1,2018,266,11/7/2015,9/22/2014,1051,1462
9/28/2018,Lancaster,PA,1,2018,271,11/7/2015,9/22/2014,1056,1467
9/28/2018,Montgomery,PA,1,2018,271,11/7/2015,9/22/2014,1056,1467
9/29/2018,Lehigh,PA,1,2018,272,11/7/2015,9/22/2014,1057,1468
9/29/2018,Philadelphia,PA,1,2018,272,11/7/2015,9/22/2014,1057,1468
9/29/2018,Berks,PA,1,2018,272,11/7/2015,9/22/2014,1057,1468
9/29/2018,Montgomery,PA,1,2018,272,11/7/2015,9/22/2014,1057,1468
9/29/2018,Philadelphia,PA,1,2018,272,11/7/2015,9/22/2014,1057,1468
9/29/2018,Philadelphia,PA,1,2018,272,11/7/2015,9/22/2014,1057,1468
9/29/2018,Lehigh,PA,1,2018,272,11/7/2015,9/22/2014,1057,1468
9/29/2018,Lehigh,PA,1,2018,272,11/7/2015,9/22/2014,1057,1468
9/29/2018,Lehigh,PA,1,2018,272,11/7/2015,9/22/2014,1057,1468
9/30/2018,Berks,PA,1,2018,273,11/7/2015,9/22/2014,1058,1469
9/30/2018,Lehigh,PA,1,2018,273,11/7/2015,9/22/2014,1058,1469
9/30/2018,Montgomery,PA,1,2018,273,11/7/2015,9/22/2014,1058,1469
9/30/2018,Montgomery,PA,1,2018,273,11/7/2015,9/22/2014,1058,1469
9/30/2018,Montgomery,PA,1,2018,273,11/7/2015,9/22/2014,1058,1469
9/30/2018,Berks,PA,1,2018,273,11/7/2015,9/22/2014,1058,1469
9/30/2018,Berks,PA,1,2018,273,11/7/2015,9/22/2014,1058,1469
10/1/2018,Montgomery,PA,1,2018,274,11/7/2015,9/22/2014,1059,1470
