ObservedDate,County,State,Count,Year,DOY,FirstiNatReport,FirstInvasion
8/6/2016,Berks,PA,1,2016,219,11/7/2015,9/22/2014
9/8/2016,Lehigh,PA,1,2016,252,11/7/2015,9/22/2014
10/6/2016,Berks,PA,1,2016,280,11/7/2015,9/22/2014
10/2/2016,Berks,PA,1,2016,276,11/7/2015,9/22/2014
6/9/2017,Berks,PA,1,2017,160,11/7/2015,9/22/2014
6/24/2017,Berks,PA,1,2017,175,11/7/2015,9/22/2014
6/25/2017,Lehigh,PA,1,2017,176,11/7/2015,9/22/2014
7/8/2017,Berks,PA,1,2017,189,11/7/2015,9/22/2014
7/8/2017,Berks,PA,1,2017,189,11/7/2015,9/22/2014
7/19/2017,Lehigh,PA,1,2017,200,11/7/2015,9/22/2014
7/29/2017,Bucks,PA,1,2017,210,11/7/2015,9/22/2014
8/5/2017,Montgomery,PA,1,2017,217,11/7/2015,9/22/2014
8/11/2017,Chester,PA,1,2017,223,11/7/2015,9/22/2014
8/2/2017,Berks,PA,1,2017,214,11/7/2015,9/22/2014
8/16/2017,Montgomery,PA,1,2017,228,11/7/2015,9/22/2014
8/24/2017,Monroe,PA,1,2017,236,11/7/2015,9/22/2014
8/25/2017,Bucks,PA,1,2017,237,11/7/2015,9/22/2014
9/5/2017,Montgomery,PA,1,2017,248,11/7/2015,9/22/2014
9/10/2017,Lehigh,PA,1,2017,253,11/7/2015,9/22/2014
9/10/2017,Lehigh,PA,1,2017,253,11/7/2015,9/22/2014
9/8/2017,Berks,PA,1,2017,251,11/7/2015,9/22/2014
9/19/2017,Berks,PA,1,2017,262,11/7/2015,9/22/2014
9/21/2017,Berks,PA,1,2017,264,11/7/2015,9/22/2014
9/27/2017,Bucks,PA,1,2017,270,11/7/2015,9/22/2014
10/8/2017,Lehigh,PA,1,2017,281,11/7/2015,9/22/2014
10/10/2017,Lehigh,PA,1,2017,283,11/7/2015,9/22/2014
10/10/2017,Lehigh,PA,1,2017,283,11/7/2015,9/22/2014
10/14/2017,Lehigh,PA,1,2017,287,11/7/2015,9/22/2014
10/16/2017,Montgomery,PA,1,2017,289,11/7/2015,9/22/2014
10/17/2017,Berks,PA,1,2017,290,11/7/2015,9/22/2014
10/17/2017,Chester,PA,1,2017,290,11/7/2015,9/22/2014
10/21/2017,Montgomery,PA,1,2017,294,11/7/2015,9/22/2014
10/15/2017,Chester,PA,1,2017,288,11/7/2015,9/22/2014
10/16/2017,Chester,PA,1,2017,289,11/7/2015,9/22/2014
10/21/2017,Chester,PA,1,2017,294,11/7/2015,9/22/2014
10/22/2017,Montgomery,PA,1,2017,295,11/7/2015,9/22/2014
10/24/2017,Northampton,PA,1,2017,297,11/7/2015,9/22/2014
11/2/2017,Lehigh,PA,1,2017,306,11/7/2015,9/22/2014
11/3/2017,Berks,PA,1,2017,307,11/7/2015,9/22/2014
9/15/2017,Bucks,PA,1,2017,258,11/7/2015,9/22/2014
11/10/2017,Montgomery,PA,1,2017,314,11/7/2015,9/22/2014
11/17/2017,Chester,PA,1,2017,321,11/7/2015,9/22/2014
11/25/2017,Lehigh,PA,1,2017,329,11/7/2015,9/22/2014
12/3/2017,Chester,PA,1,2017,337,11/7/2015,9/22/2014
12/19/2017,Bucks,PA,1,2017,353,11/7/2015,9/22/2014
1/14/2018,Montgomery,PA,1,2018,14,11/7/2015,9/22/2014
