,ObservedDate,County,State,Year,DOY,FirstiNatReport,FirstInvasion,iNatSince,SinceOfficialInvasion,Count2
7357,9/5/2019,NY,NY,2019,248,9/5/2019,8/14/2020,0,-344,1
6861,9/22/2019,Kings,NY,2019,265,9/5/2019,8/14/2020,17,-327,1
786,10/5/2019,Queens,NY,2019,278,9/5/2019,8/14/2020,30,-314,1
157,10/12/2019,Orange,NY,2019,285,9/5/2019,8/14/2020,37,-307,1
3197,7/15/2020,Richmond,NY,2020,197,9/5/2019,8/14/2020,314,-30,1
5741,8/3/2020,Richmond,NY,2020,216,9/5/2019,8/14/2020,333,-11,1
6232,8/9/2020,Richmond,NY,2020,222,9/5/2019,8/14/2020,339,-5,1
4548,8/10/2020,Nassau,NY,2020,223,9/5/2019,8/14/2020,340,-4,1
4612,8/11/2020,Richmond,NY,2020,224,9/5/2019,8/14/2020,341,-3,1
4726,8/13/2020,NY,NY,2020,226,9/5/2019,8/14/2020,343,-1,1
4789,8/14/2020,Richmond,NY,2020,227,9/5/2019,8/14/2020,344,0,1
3342,7/18/2018,Cape May,NJ,2018,199,7/18/2021,7/17/2018,-1096,1,1
5066,8/19/2020,Queens,NY,2020,232,9/5/2019,8/14/2020,349,5,1
5360,8/23/2020,NY,NY,2020,236,9/5/2019,8/14/2020,353,9,1
5468,8/25/2020,NY,NY,2020,238,9/5/2019,8/14/2020,355,11,1
5579,8/27/2020,Queens,NY,2020,240,9/5/2019,8/14/2020,357,13,1
5686,8/29/2020,NY,NY,2020,242,9/5/2019,8/14/2020,359,15,1
5858,8/31/2020,Nassau,NY,2020,244,9/5/2019,8/14/2020,361,17,1
7203,9/3/2020,Suffolk,NY,2020,247,9/5/2019,8/14/2020,364,20,1
7289,9/4/2020,Kings,NY,2020,248,9/5/2019,8/14/2020,365,21,1
7299,9/4/2020,NY,NY,2020,248,9/5/2019,8/14/2020,365,21,2
7371,9/5/2020,Queens,NY,2020,249,9/5/2019,8/14/2020,366,22,1
7369,9/5/2020,NY,NY,2020,249,9/5/2019,8/14/2020,366,22,10
7422,9/6/2020,NY,NY,2020,250,9/5/2019,8/14/2020,367,23,2
7479,9/7/2020,NY,NY,2020,251,9/5/2019,8/14/2020,368,24,1
7481,9/7/2020,Richmond,NY,2020,251,9/5/2019,8/14/2020,368,24,2
7539,9/8/2020,NY,NY,2020,252,9/5/2019,8/14/2020,369,25,6
7591,9/9/2020,NY,NY,2020,253,9/5/2019,8/14/2020,370,26,2
6358,9/11/2020,NY,NY,2020,255,9/5/2019,8/14/2020,372,28,1
6401,9/12/2020,Kings,NY,2020,256,9/5/2019,8/14/2020,373,29,1
6408,9/12/2020,Orange,NY,2020,256,9/5/2019,8/14/2020,373,29,1
6540,9/15/2020,NY,NY,2020,259,9/5/2019,8/14/2020,376,32,1
6593,9/16/2020,Richmond,NY,2020,260,9/5/2019,8/14/2020,377,33,1
6995,9/25/2020,Richmond,NY,2020,269,9/5/2019,8/14/2020,386,42,1
7051,9/26/2020,NY,NY,2020,270,9/5/2019,8/14/2020,387,43,1
7097,9/27/2020,NY,NY,2020,271,9/5/2019,8/14/2020,388,44,1
58,10/1/2020,Richmond,NY,2020,275,9/5/2019,8/14/2020,392,48,1
403,10/2/2020,Richmond,NY,2020,276,9/5/2019,8/14/2020,393,49,1
895,10/8/2020,Richmond,NY,2020,282,9/5/2019,8/14/2020,399,55,1
222,10/14/2020,NY,NY,2020,288,9/5/2019,8/14/2020,405,61,1
347,10/18/2020,Ulster,NY,2020,292,9/5/2019,8/14/2020,409,65,1
6799,9/20/2018,Camden,NJ,2018,263,7/18/2021,7/17/2018,-1032,65,1
1142,11/8/2020,Richmond,NY,2020,313,9/5/2019,8/14/2020,430,86,2
1061,11/25/2020,Richmond,NY,2020,330,9/5/2019,8/14/2020,447,103,1
1160,12/10/2020,Kings,NY,2020,345,9/5/2019,8/14/2020,462,118,1
5,1/10/2021,Richmond,NY,2021,10,9/5/2019,8/14/2020,493,149,1
1328,4/19/2021,Rockland,NY,2021,109,9/5/2019,8/14/2020,592,248,1
1482,5/19/2021,Richmond,NY,2021,139,9/5/2019,8/14/2020,622,278,1
1570,5/23/2021,NY,NY,2021,143,9/5/2019,8/14/2020,626,282,1
1595,5/24/2021,Richmond,NY,2021,144,9/5/2019,8/14/2020,627,283,1
1627,5/25/2021,Richmond,NY,2021,145,9/5/2019,8/14/2020,628,284,2
2736,6/4/2021,Richmond,NY,2021,155,9/5/2019,8/14/2020,638,294,1
2061,6/15/2021,NY,NY,2021,166,9/5/2019,8/14/2020,649,305,1
2634,6/29/2022,Cuyahoga,OH,2022,180,6/29/2022,8/26/2021,0,307,3
2281,6/20/2021,Richmond,NY,2021,171,9/5/2019,8/14/2020,654,310,1
1673,5/27/2019,Hunterdon,NJ,2019,147,7/18/2021,7/17/2018,-783,314,1
3124,7/13/2022,Cuyahoga,OH,2022,194,6/29/2022,8/26/2021,14,321,1
2788,6/6/2019,Hunterdon,NJ,2019,157,7/18/2021,7/17/2018,-773,324,1
4205,7/4/2021,NY,NY,2021,185,9/5/2019,8/14/2020,668,324,1
4261,7/5/2021,Richmond,NY,2021,186,9/5/2019,8/14/2020,669,325,1
4304,7/6/2021,Richmond,NY,2021,187,9/5/2019,8/14/2020,670,326,1
4356,7/7/2021,Rockland,NY,2021,188,9/5/2019,8/14/2020,671,327,1
1852,6/10/2019,Hunterdon,NJ,2019,161,7/18/2021,7/17/2018,-769,328,1
4402,7/8/2021,NY,NY,2021,189,9/5/2019,8/14/2020,672,328,1
1884,6/11/2019,Hunterdon,NJ,2019,162,7/18/2021,7/17/2018,-768,329,1
3023,7/11/2021,Richmond,NY,2021,192,9/5/2019,8/14/2020,675,331,1
3208,7/15/2021,NY,NY,2021,196,9/5/2019,8/14/2020,679,335,1
3257,7/16/2021,Rockland,NY,2021,197,9/5/2019,8/14/2020,680,336,2
3366,7/18/2021,Queens,NY,2021,199,9/5/2019,8/14/2020,682,338,1
3367,7/18/2021,Richmond,NY,2021,199,9/5/2019,8/14/2020,682,338,2
3418,7/19/2021,Richmond,NY,2021,200,9/5/2019,8/14/2020,683,339,1
3416,7/19/2021,NY,NY,2021,200,9/5/2019,8/14/2020,683,339,3
3517,7/20/2021,Richmond,NY,2021,201,9/5/2019,8/14/2020,684,340,1
3613,7/22/2021,Richmond,NY,2021,203,9/5/2019,8/14/2020,686,342,1
3664,7/23/2021,Richmond,NY,2021,204,9/5/2019,8/14/2020,687,343,1
2488,6/26/2019,Mercer,NJ,2019,177,7/18/2021,7/17/2018,-753,344,1
5997,8/5/2022,Cuyahoga,OH,2022,217,6/29/2022,8/26/2021,37,344,1
2530,6/27/2019,Mercer,NJ,2019,178,7/18/2021,7/17/2018,-752,345,1
3817,7/26/2021,NY,NY,2021,207,9/5/2019,8/14/2020,690,346,1
3819,7/26/2021,Richmond,NY,2021,207,9/5/2019,8/14/2020,690,346,1
3820,7/26/2021,Rockland,NY,2021,207,9/5/2019,8/14/2020,690,346,2
3864,7/27/2021,Kings,NY,2021,208,9/5/2019,8/14/2020,691,347,1
3873,7/27/2021,Richmond,NY,2021,208,9/5/2019,8/14/2020,691,347,1
3870,7/27/2021,NY,NY,2021,208,9/5/2019,8/14/2020,691,347,5
3932,7/28/2021,Queens,NY,2021,209,9/5/2019,8/14/2020,692,348,1
3934,7/28/2021,Rockland,NY,2021,209,9/5/2019,8/14/2020,692,348,1
3930,7/28/2021,NY,NY,2021,209,9/5/2019,8/14/2020,692,348,3
3933,7/28/2021,Richmond,NY,2021,209,9/5/2019,8/14/2020,692,348,3
3927,7/28/2021,Kings,NY,2021,209,9/5/2019,8/14/2020,692,348,5
3981,7/29/2021,NY,NY,2021,210,9/5/2019,8/14/2020,693,349,1
3983,7/29/2021,Richmond,NY,2021,210,9/5/2019,8/14/2020,693,349,2
3448,7/2/2019,Warren,NJ,2019,183,7/18/2021,7/17/2018,-747,350,1
4084,7/30/2021,Kings,NY,2021,211,9/5/2019,8/14/2020,694,350,1
4090,7/30/2021,NY,NY,2021,211,9/5/2019,8/14/2020,694,350,4
4152,7/31/2021,NY,NY,2021,212,9/5/2019,8/14/2020,695,351,2
4700,8/12/2022,Cuyahoga,OH,2022,224,6/29/2022,8/26/2021,44,351,2
4504,8/1/2021,Nassau,NY,2021,213,9/5/2019,8/14/2020,696,352,1
5133,8/2/2021,Kings,NY,2021,214,9/5/2019,8/14/2020,697,353,1
5141,8/2/2021,Richmond,NY,2021,214,9/5/2019,8/14/2020,697,353,1
5760,8/3/2021,Queens,NY,2021,215,9/5/2019,8/14/2020,698,354,1
5761,8/3/2021,Richmond,NY,2021,215,9/5/2019,8/14/2020,698,354,1
5750,8/3/2021,Kings,NY,2021,215,9/5/2019,8/14/2020,698,354,2
5758,8/3/2021,NY,NY,2021,215,9/5/2019,8/14/2020,698,354,2
5928,8/4/2021,Richmond,NY,2021,216,9/5/2019,8/14/2020,699,355,2
5926,8/4/2021,NY,NY,2021,216,9/5/2019,8/14/2020,699,355,3
4383,7/8/2019,Mercer,NJ,2019,189,7/18/2021,7/17/2018,-741,356,1
4984,8/17/2022,Cuyahoga,OH,2022,229,6/29/2022,8/26/2021,49,356,1
5988,8/5/2021,Richmond,NY,2021,217,9/5/2019,8/14/2020,700,356,2
5986,8/5/2021,NY,NY,2021,217,9/5/2019,8/14/2020,700,356,3
5037,8/18/2022,Cuyahoga,OH,2022,230,6/29/2022,8/26/2021,50,357,1
6034,8/6/2021,Bronx,NY,2021,218,9/5/2019,8/14/2020,701,357,1
6047,8/6/2021,NY,NY,2021,218,9/5/2019,8/14/2020,701,357,1
6049,8/6/2021,Richmond,NY,2021,218,9/5/2019,8/14/2020,701,357,1
6105,8/7/2021,Kings,NY,2021,219,9/5/2019,8/14/2020,702,358,2
6116,8/7/2021,NY,NY,2021,219,9/5/2019,8/14/2020,702,358,2
6119,8/7/2021,Richmond,NY,2021,219,9/5/2019,8/14/2020,702,358,2
6189,8/8/2021,NY,NY,2021,220,9/5/2019,8/14/2020,703,359,5
6245,8/9/2021,NY,NY,2021,221,9/5/2019,8/14/2020,704,360,6
4552,8/10/2021,Bronx,NY,2021,222,9/5/2019,8/14/2020,705,361,1
4570,8/10/2021,Queens,NY,2021,222,9/5/2019,8/14/2020,705,361,1
4568,8/10/2021,Orange,NY,2021,222,9/5/2019,8/14/2020,705,361,2
4567,8/10/2021,NY,NY,2021,222,9/5/2019,8/14/2020,705,361,8
4624,8/11/2021,Kings,NY,2021,223,9/5/2019,8/14/2020,706,362,1
4633,8/11/2021,Queens,NY,2021,223,9/5/2019,8/14/2020,706,362,1
5383,8/23/2022,Cuyahoga,OH,2022,235,6/29/2022,8/26/2021,55,362,1
4634,8/11/2021,Richmond,NY,2021,223,9/5/2019,8/14/2020,706,362,2
4631,8/11/2021,NY,NY,2021,223,9/5/2019,8/14/2020,706,362,3
3187,7/15/2019,Mercer,NJ,2019,196,7/18/2021,7/17/2018,-734,363,1
4676,8/12/2021,Bronx,NY,2021,224,9/5/2019,8/14/2020,707,363,1
5440,8/24/2022,Cuyahoga,OH,2022,236,6/29/2022,8/26/2021,56,363,2
4689,8/12/2021,Queens,NY,2021,224,9/5/2019,8/14/2020,707,363,3
4690,8/12/2021,Richmond,NY,2021,224,9/5/2019,8/14/2020,707,363,3
4687,8/12/2021,NY,NY,2021,224,9/5/2019,8/14/2020,707,363,10
